Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
4.38586,4.38586,4.38586,2019,CarbonEmissions,4.38586
4.44294,4.44294,4.44294,2020,CarbonEmissions,4.44294
4.52198,4.52199,4.52198,2021,CarbonEmissions,4.52199
4.60402,4.60405,4.60402,2022,CarbonEmissions,4.60405
4.67257,4.67263,4.67257,2023,CarbonEmissions,4.67263
4.72155,4.72172,4.72155,2024,CarbonEmissions,4.72172
4.74418,4.71906,4.74418,2025,CarbonEmissions,4.71906
4.77279,4.65707,4.77229,2026,CarbonEmissions,4.65756
4.81339,4.53659,4.81162,2027,CarbonEmissions,4.53806
4.87338,4.38808,4.87024,2028,CarbonEmissions,4.39022
4.9464,4.21963,4.94443,2029,CarbonEmissions,4.22091
5.02598,4.0517,5.02927,2030,CarbonEmissions,4.05017
5.08334,3.9118,5.09639,2031,CarbonEmissions,3.90568
5.11645,3.79065,5.14106,2032,CarbonEmissions,3.77828
5.12996,3.68787,5.16691,2033,CarbonEmissions,3.66779
5.13148,3.59961,5.17627,2034,CarbonEmissions,3.5711
5.12857,3.51355,5.18233,2035,CarbonEmissions,3.47604
5.12121,3.43583,5.18637,2036,CarbonEmissions,3.38943
5.10946,3.35236,5.1868,2037,CarbonEmissions,3.29699
5.09912,3.25936,5.18428,2038,CarbonEmissions,3.19678
5.09114,3.15379,5.1845,2039,CarbonEmissions,3.08617
5.09106,3.02971,5.19207,2040,CarbonEmissions,2.95898
5.09039,2.90124,5.20185,2041,CarbonEmissions,2.82861
5.08705,2.77273,5.209,2042,CarbonEmissions,2.69797
5.08268,2.64367,5.21471,2043,CarbonEmissions,2.56655
5.06545,2.51628,5.20703,2044,CarbonEmissions,2.43725
5.04342,2.39158,5.1913,2045,CarbonEmissions,2.31023
5.0183,2.27293,5.17298,2046,CarbonEmissions,2.18944
4.99005,2.16964,5.1533,2047,CarbonEmissions,2.08317
4.96181,2.08093,5.13088,2048,CarbonEmissions,1.99255
4.93161,2.00574,5.11035,2049,CarbonEmissions,1.91527
