Baseline,JET SDG,SDG Push,Year,indicator,Enhanced NDC
0.48,0.48,0.48,2019,CarbonEmissions,0.47979
0.498,0.498,0.498,2020,CarbonEmissions,0.49839
0.5,0.5,0.5,2021,CarbonEmissions,0.50002
0.507,0.507,0.507,2022,CarbonEmissions,0.50744
0.522,0.522,0.522,2023,CarbonEmissions,0.52188
0.526,0.526,0.526,2024,CarbonEmissions,0.52561
0.526,0.521,0.526,2025,CarbonEmissions,0.52074
0.531,0.511,0.531,2026,CarbonEmissions,0.51092
0.538,0.495,0.538,2027,CarbonEmissions,0.49498
0.545,0.471,0.545,2028,CarbonEmissions,0.47134
0.553,0.445,0.554,2029,CarbonEmissions,0.44469
0.562,0.419,0.563,2030,CarbonEmissions,0.41785
0.568,0.399,0.571,2031,CarbonEmissions,0.39729
0.571,0.381,0.576,2032,CarbonEmissions,0.37847
0.572,0.365,0.579,2033,CarbonEmissions,0.36147
0.572,0.351,0.58,2034,CarbonEmissions,0.34591
0.571,0.337,0.581,2035,CarbonEmissions,0.33083
0.57,0.323,0.582,2036,CarbonEmissions,0.31607
0.569,0.303,0.583,2037,CarbonEmissions,0.29567
0.567,0.283,0.583,2038,CarbonEmissions,0.27408
0.565,0.26,0.582,2039,CarbonEmissions,0.2509
0.564,0.236,0.582,2040,CarbonEmissions,0.22673
0.561,0.212,0.582,2041,CarbonEmissions,0.20338
0.559,0.19,0.581,2042,CarbonEmissions,0.18129
0.555,0.169,0.579,2043,CarbonEmissions,0.1602
0.551,0.149,0.575,2044,CarbonEmissions,0.14046
0.545,0.13,0.571,2045,CarbonEmissions,0.12181
0.539,0.114,0.566,2046,CarbonEmissions,0.10565
0.533,0.103,0.562,2047,CarbonEmissions,0.09528
0.528,0.094,0.557,2048,CarbonEmissions,0.0859
0.522,0.085,0.554,2049,CarbonEmissions,0.07738
0.517,0.077,0.553,2050,CarbonEmissions,0.06935
0.513,0.07,0.551,2051,CarbonEmissions,0.06223
0.508,0.064,0.548,2052,CarbonEmissions,0.05594
0.503,0.058,0.544,2053,CarbonEmissions,0.05015
0.497,0.053,0.54,2054,CarbonEmissions,0.04453
0.492,0.047,0.536,2055,CarbonEmissions,0.03898
0.487,0.041,0.532,2056,CarbonEmissions,0.03279
0.482,0.035,0.528,2057,CarbonEmissions,0.02718
0.476,0.029,0.524,2058,CarbonEmissions,0.02149
0.47,0.023,0.52,2059,CarbonEmissions,0.01566
0.464,0.017,0.515,2060,CarbonEmissions,0.01025
0.458,0.012,0.511,2061,CarbonEmissions,0.00488
0.451,0.006,0.507,2062,CarbonEmissions,-0.00025
0.445,0.001,0.502,2063,CarbonEmissions,-0.00516
0.439,-0.004,0.498,2064,CarbonEmissions,-0.00983
0.433,-0.008,0.494,2065,CarbonEmissions,-0.014
0.427,-0.012,0.491,2066,CarbonEmissions,-0.01775
0.421,-0.015,0.487,2067,CarbonEmissions,-0.02123
0.415,-0.019,0.483,2068,CarbonEmissions,-0.02448
0.409,-0.022,0.478,2069,CarbonEmissions,-0.02748
