Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.02938,0.02938,0.02938,2019,CarbonEmissions,0.02938
0.03005,0.03005,0.03005,2020,CarbonEmissions,0.03005
0.03123,0.03123,0.03123,2021,CarbonEmissions,0.03123
0.03225,0.03225,0.03225,2022,CarbonEmissions,0.03225
0.03324,0.03324,0.03324,2023,CarbonEmissions,0.03324
0.03398,0.03398,0.03398,2024,CarbonEmissions,0.03398
0.03448,0.03448,0.03593,2025,CarbonEmissions,0.03593
0.03513,0.03511,0.03775,2026,CarbonEmissions,0.03777
0.03602,0.03599,0.03929,2027,CarbonEmissions,0.03932
0.03685,0.03682,0.04027,2028,CarbonEmissions,0.04029
0.03789,0.03788,0.0411,2029,CarbonEmissions,0.04111
0.03907,0.0391,0.04175,2030,CarbonEmissions,0.04173
0.04021,0.04034,0.04194,2031,CarbonEmissions,0.04189
0.04124,0.04148,0.0424,2032,CarbonEmissions,0.04228
0.04221,0.04257,0.0431,2033,CarbonEmissions,0.04289
0.04314,0.04358,0.04405,2034,CarbonEmissions,0.04371
0.04407,0.04461,0.04489,2035,CarbonEmissions,0.0444
0.045,0.0457,0.04588,2036,CarbonEmissions,0.0452
0.04597,0.04681,0.04731,2037,CarbonEmissions,0.0464
0.04697,0.04786,0.04846,2038,CarbonEmissions,0.04733
0.04797,0.04891,0.04909,2039,CarbonEmissions,0.04777
0.04905,0.05004,0.04889,2040,CarbonEmissions,0.04744
0.05013,0.05118,0.04819,2041,CarbonEmissions,0.04664
0.05107,0.05222,0.04709,2042,CarbonEmissions,0.04546
0.05196,0.05323,0.04571,2043,CarbonEmissions,0.04404
0.05273,0.05411,0.04423,2044,CarbonEmissions,0.04254
0.05347,0.05493,0.04275,2045,CarbonEmissions,0.04105
0.05418,0.05574,0.04135,2046,CarbonEmissions,0.03963
0.05488,0.05658,0.0396,2047,CarbonEmissions,0.03788
0.05562,0.05745,0.03832,2048,CarbonEmissions,0.03653
0.05637,0.05841,0.03751,2049,CarbonEmissions,0.03561
0.05716,0.05952,0.03712,2050,CarbonEmissions,0.03504
0.05794,0.06063,0.03722,2051,CarbonEmissions,0.03495
0.05871,0.06168,0.03777,2052,CarbonEmissions,0.03522
