Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0001,0.0001,0.0001,2019,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2020,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2021,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2022,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2023,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2024,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2025,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2026,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2027,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2028,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2029,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2030,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2031,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2032,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2033,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2034,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2035,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2036,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2037,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2038,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2039,CarbonEmissions,0.0001
0.0001,0.0002,0.0001,2040,CarbonEmissions,0.0001
0.0001,0.0002,0.0001,2041,CarbonEmissions,0.0001
0.0001,0.0002,0.0001,2042,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2043,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2044,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2045,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2046,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2047,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2048,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2049,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2050,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2051,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2052,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2053,CarbonEmissions,0.0001
0.0002,0.0002,0.0001,2054,CarbonEmissions,0.0001
0.0002,0.0002,0.0002,2055,CarbonEmissions,0.0001
0.0002,0.0002,0.0002,2056,CarbonEmissions,0.0001
0.0002,0.0003,0.0002,2057,CarbonEmissions,0.0001
0.0002,0.0003,0.0002,2058,CarbonEmissions,0.0001
0.0002,0.0003,0.0002,2059,CarbonEmissions,0.0001
0.0002,0.0003,0.0002,2060,CarbonEmissions,0.0001
0.0002,0.0003,0.0001,2061,CarbonEmissions,0.0001
0.0002,0.0003,0.0001,2062,CarbonEmissions,0.0001
0.0002,0.0003,0.0001,2063,CarbonEmissions,0.0001
0.0003,0.0003,0.0001,2064,CarbonEmissions,0.0001
0.0003,0.0003,0.0001,2065,CarbonEmissions,0.0001
0.0003,0.0003,0.0001,2066,CarbonEmissions,0.0001
0.0003,0.0003,0.0001,2067,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2068,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2069,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2070,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2071,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2072,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2073,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2074,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2075,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2076,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2077,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2078,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2079,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2080,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2081,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2082,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2083,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2084,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2085,CarbonEmissions,0.0001
0.0003,0.0004,0.0001,2086,CarbonEmissions,0.0001
0.0003,0.0003,0.0001,2087,CarbonEmissions,0.0
0.0003,0.0003,0.0001,2088,CarbonEmissions,0.0
0.0003,0.0003,0.0001,2089,CarbonEmissions,0.0
0.0002,0.0003,0,2090,CarbonEmissions,0.0
0.0002,0.0003,0,2091,CarbonEmissions,0.0
0.0002,0.0002,0,2092,CarbonEmissions,0.0
0.0002,0.0002,0,2093,CarbonEmissions,0.0
0.0002,0.0002,0,2094,CarbonEmissions,0.0
0.0002,0.0002,0,2095,CarbonEmissions,0.0
0.0002,0.0001,0,2096,CarbonEmissions,0.0
0.0002,0.0001,0,2097,CarbonEmissions,0.0
0.0002,0.0001,0,2098,CarbonEmissions,0.0
0.0001,0.0001,0,2099,CarbonEmissions,0.0
0.0001,0,0,2100,CarbonEmissions,0.0
0.266,0.266,0.266,2019,CarbonEmissions_per_capita,0.26648
0.27,0.27,0.27,2020,CarbonEmissions_per_capita,0.27022
0.272,0.272,0.272,2021,CarbonEmissions_per_capita,0.27221
0.27,0.27,0.27,2022,CarbonEmissions_per_capita,0.26958
0.267,0.267,0.267,2023,CarbonEmissions_per_capita,0.2674
0.265,0.265,0.265,2024,CarbonEmissions_per_capita,0.26496
0.264,0.264,0.274,2025,CarbonEmissions_per_capita,0.27432
0.266,0.266,0.284,2026,CarbonEmissions_per_capita,0.28381
0.269,0.269,0.29,2027,CarbonEmissions_per_capita,0.29026
0.272,0.273,0.292,2028,CarbonEmissions_per_capita,0.2922
0.277,0.277,0.293,2029,CarbonEmissions_per_capita,0.2923
0.282,0.283,0.292,2030,CarbonEmissions_per_capita,0.29098
0.286,0.289,0.289,2031,CarbonEmissions_per_capita,0.28683
0.29,0.295,0.288,2032,CarbonEmissions_per_capita,0.28435
0.293,0.3,0.289,2033,CarbonEmissions_per_capita,0.28339
0.295,0.304,0.292,2034,CarbonEmissions_per_capita,0.28392
0.298,0.309,0.294,2035,CarbonEmissions_per_capita,0.28407
0.301,0.315,0.298,2036,CarbonEmissions_per_capita,0.28515
0.303,0.32,0.305,2037,CarbonEmissions_per_capita,0.28864
0.305,0.324,0.311,2038,CarbonEmissions_per_capita,0.2909
0.307,0.329,0.314,2039,CarbonEmissions_per_capita,0.29095
0.309,0.333,0.313,2040,CarbonEmissions_per_capita,0.28715
0.311,0.339,0.31,2041,CarbonEmissions_per_capita,0.28152
0.312,0.344,0.306,2042,CarbonEmissions_per_capita,0.27433
0.314,0.35,0.3,2043,CarbonEmissions_per_capita,0.26626
0.316,0.355,0.293,2044,CarbonEmissions_per_capita,0.258
0.317,0.36,0.287,2045,CarbonEmissions_per_capita,0.24983
0.318,0.365,0.281,2046,CarbonEmissions_per_capita,0.24214
0.32,0.371,0.273,2047,CarbonEmissions_per_capita,0.23263
0.323,0.378,0.267,2048,CarbonEmissions_per_capita,0.22515
0.325,0.385,0.263,2049,CarbonEmissions_per_capita,0.21978
0.329,0.395,0.263,2050,CarbonEmissions_per_capita,0.21645
0.333,0.404,0.265,2051,CarbonEmissions_per_capita,0.21562
0.337,0.414,0.269,2052,CarbonEmissions_per_capita,0.21636
0.342,0.424,0.275,2053,CarbonEmissions_per_capita,0.21836
0.347,0.434,0.281,2054,CarbonEmissions_per_capita,0.22109
0.353,0.445,0.286,2055,CarbonEmissions_per_capita,0.22387
0.359,0.457,0.288,2056,CarbonEmissions_per_capita,0.22621
0.366,0.469,0.288,2057,CarbonEmissions_per_capita,0.22766
0.373,0.482,0.284,2058,CarbonEmissions_per_capita,0.2269
0.381,0.495,0.28,2059,CarbonEmissions_per_capita,0.22519
0.389,0.508,0.273,2060,CarbonEmissions_per_capita,0.22101
0.397,0.521,0.265,2061,CarbonEmissions_per_capita,0.21539
0.405,0.534,0.256,2062,CarbonEmissions_per_capita,0.20911
0.414,0.548,0.247,2063,CarbonEmissions_per_capita,0.20234
0.423,0.561,0.237,2064,CarbonEmissions_per_capita,0.19502
0.432,0.575,0.229,2065,CarbonEmissions_per_capita,0.18831
0.438,0.588,0.222,2066,CarbonEmissions_per_capita,0.18208
