Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
3.44888,3.44888,3.44888,2019,CarbonEmissions,3.44888
3.3937,3.3937,3.39369,2020,CarbonEmissions,3.39369
3.37735,3.37735,3.37734,2021,CarbonEmissions,3.37734
3.38511,3.38511,3.38509,2022,CarbonEmissions,3.38509
3.40093,3.40093,3.40091,2023,CarbonEmissions,3.40091
3.35572,3.35572,3.35577,2024,CarbonEmissions,3.35577
3.30907,3.30907,3.32184,2025,CarbonEmissions,3.32184
3.27758,3.27826,3.2708,2026,CarbonEmissions,3.27012
3.25911,3.25945,3.18607,2027,CarbonEmissions,3.1857
3.24164,3.23925,3.05733,2028,CarbonEmissions,3.05926
3.23655,3.23473,2.91635,2029,CarbonEmissions,2.9177
3.23512,3.23731,2.76899,2030,CarbonEmissions,2.76767
3.22617,3.23553,2.60556,2031,CarbonEmissions,2.60001
3.20239,3.22079,2.45727,2032,CarbonEmissions,2.44614
3.17347,3.20152,2.32236,2033,CarbonEmissions,2.30476
3.14074,3.17532,2.19873,2034,CarbonEmissions,2.17406
3.10754,3.14979,2.09473,2035,CarbonEmissions,2.06256
3.07279,3.1266,1.99427,2036,CarbonEmissions,1.9553
3.03976,3.10313,1.91227,2037,CarbonEmissions,1.86714
3.00764,3.07335,1.81983,2038,CarbonEmissions,1.7705
2.97368,3.04263,1.71741,2039,CarbonEmissions,1.66562
2.95127,3.02364,1.62086,2040,CarbonEmissions,1.56773
2.93277,3.01208,1.52277,2041,CarbonEmissions,1.469
2.91472,2.99955,1.4271,2042,CarbonEmissions,1.37316
2.89764,2.98765,1.33307,2043,CarbonEmissions,1.27917
2.86794,2.96156,1.24295,2044,CarbonEmissions,1.19035
2.83293,2.92853,1.15656,2045,CarbonEmissions,1.10479
2.79538,2.89212,1.06928,2046,CarbonEmissions,1.01867
2.75602,2.85477,0.96849,2047,CarbonEmissions,0.92037
2.71708,2.81569,0.88146,2048,CarbonEmissions,0.83506
2.67799,2.77905,0.80265,2049,CarbonEmissions,0.7581
2.64326,2.75904,0.73045,2050,CarbonEmissions,0.68743
2.60308,2.73094,0.66298,2051,CarbonEmissions,0.62123
2.56153,2.69528,0.60403,2052,CarbonEmissions,0.56305
2.51868,2.65498,0.54933,2053,CarbonEmissions,0.50968
2.47409,2.61091,0.4974,2054,CarbonEmissions,0.45965
2.42972,2.56472,0.44909,2055,CarbonEmissions,0.41361
2.38348,2.51713,0.40567,2056,CarbonEmissions,0.37317
2.3358,2.46682,0.35697,2057,CarbonEmissions,0.32778
2.28587,2.41556,0.31149,2058,CarbonEmissions,0.2852
2.23609,2.36167,0.26538,2059,CarbonEmissions,0.24164
2.18381,2.30823,0.22465,2060,CarbonEmissions,0.20431
2.13042,2.25369,0.18623,2061,CarbonEmissions,0.16646
2.07687,2.20056,0.14989,2062,CarbonEmissions,0.13174
2.0251,2.14654,0.11657,2063,CarbonEmissions,0.09914
1.97284,2.09424,0.08508,2064,CarbonEmissions,0.06922
1.92232,2.0417,0.05662,2065,CarbonEmissions,0.04181
1.87169,1.99025,0.03183,2066,CarbonEmissions,0.01798
1.82187,1.93695,0.00916,2067,CarbonEmissions,-0.00387
1.77101,1.88312,-0.01166,2068,CarbonEmissions,-0.02407
1.72066,1.82546,-0.03093,2069,CarbonEmissions,-0.04276
1.66838,1.76627,-0.04467,2070,CarbonEmissions,-0.05635
1.61693,1.70559,-0.05968,2071,CarbonEmissions,-0.0711
1.56456,1.64387,-0.07315,2072,CarbonEmissions,-0.08445
1.51121,1.58474,-0.08567,2073,CarbonEmissions,-0.09681
1.45893,1.52929,-0.09706,2074,CarbonEmissions,-0.1083
1.40887,1.47795,-0.10848,2075,CarbonEmissions,-0.11892
1.36051,1.42704,-0.11863,2076,CarbonEmissions,-0.12852
1.31477,1.37942,-0.12901,2077,CarbonEmissions,-0.13828
1.26942,1.33198,-0.13825,2078,CarbonEmissions,-0.14695
1.22511,1.283,-0.14761,2079,CarbonEmissions,-0.15575
1.18237,1.23537,-0.15596,2080,CarbonEmissions,-0.16366
1.14145,1.18867,-0.16421,2081,CarbonEmissions,-0.17147
1.10009,1.14221,-0.17187,2082,CarbonEmissions,-0.17856
1.05952,1.0967,-0.1791,2083,CarbonEmissions,-0.18554
1.01937,1.0526,-0.18592,2084,CarbonEmissions,-0.19203
0.98074,1.00883,-0.19236,2085,CarbonEmissions,-0.19813
