Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.0001,0.0001,0.0001,2019,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2020,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2021,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2022,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2023,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2024,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2025,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2026,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2027,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2028,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2029,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2030,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2031,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2032,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2033,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2034,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2035,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2036,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2037,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2038,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2039,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2040,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2041,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2042,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2043,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2044,CarbonEmissions,0.0001
0.0001,0.0001,0.0001,2045,CarbonEmissions,0.0001
0.0001,0.0001,0,2046,CarbonEmissions,0.0
0.0001,0.0002,0,2047,CarbonEmissions,0.0
0.0001,0.0002,0,2048,CarbonEmissions,0.0
0.0001,0.0002,0,2049,CarbonEmissions,0.0
0.0002,0.0002,0,2050,CarbonEmissions,0.0
0.0002,0.0002,0,2051,CarbonEmissions,0.0
0.0002,0.0002,0,2052,CarbonEmissions,0.0
0.0002,0.0002,0,2053,CarbonEmissions,0.0
0.0002,0.0002,0,2054,CarbonEmissions,0.0
0.0002,0.0002,0,2055,CarbonEmissions,0.0
0.0002,0.0002,0,2056,CarbonEmissions,0.0
0.0002,0.0002,0,2057,CarbonEmissions,0.0
0.0002,0.0002,0,2058,CarbonEmissions,0.0
0.0002,0.0002,0,2059,CarbonEmissions,0.0
0.0002,0.0002,0,2060,CarbonEmissions,0.0
0.0002,0.0002,0,2061,CarbonEmissions,0.0
0.0002,0.0002,0,2062,CarbonEmissions,0.0
0.0002,0.0002,0,2063,CarbonEmissions,0.0
0.0002,0.0002,0,2064,CarbonEmissions,0.0
0.0002,0.0002,0,2065,CarbonEmissions,0.0
0.0002,0.0002,0,2066,CarbonEmissions,0.0
0.0002,0.0002,0,2067,CarbonEmissions,0.0
0.0002,0.0002,0,2068,CarbonEmissions,0.0
0.0002,0.0002,0,2069,CarbonEmissions,0.0
0.0002,0.0002,0,2070,CarbonEmissions,0.0
0.0002,0.0002,0,2071,CarbonEmissions,0.0
0.0002,0.0002,0,2072,CarbonEmissions,0.0
0.0002,0.0002,0,2073,CarbonEmissions,0.0
0.0002,0.0002,0,2074,CarbonEmissions,0.0
0.0002,0.0002,0,2075,CarbonEmissions,0.0
0.0002,0.0002,0,2076,CarbonEmissions,0.0
0.0002,0.0002,0,2077,CarbonEmissions,0.0
0.0002,0.0002,0,2078,CarbonEmissions,0.0
0.0002,0.0002,0,2079,CarbonEmissions,0.0
0.0002,0.0002,0,2080,CarbonEmissions,0.0
0.0002,0.0002,0,2081,CarbonEmissions,0.0
0.0002,0.0002,0,2082,CarbonEmissions,0.0
0.0002,0.0002,0,2083,CarbonEmissions,0.0
0.0002,0.0002,0,2084,CarbonEmissions,0.0
0.0002,0.0002,0,2085,CarbonEmissions,0.0
0.0002,0.0002,0,2086,CarbonEmissions,0.0
0.0001,0.0001,0,2087,CarbonEmissions,0.0
0.0001,0.0001,0,2088,CarbonEmissions,0.0
0.0001,0.0001,0,2089,CarbonEmissions,0.0
0.0001,0.0001,0,2090,CarbonEmissions,0.0
0.0001,0.0001,0,2091,CarbonEmissions,0.0
0.0001,0.0001,0,2092,CarbonEmissions,0.0
0.0001,0.0001,0,2093,CarbonEmissions,0.0
0.0001,0.0001,0,2094,CarbonEmissions,0.0
0.0001,0.0001,0,2095,CarbonEmissions,0.0
0.0001,0,0,2096,CarbonEmissions,0.0
0.0001,0,0,2097,CarbonEmissions,0.0
0.0001,0,0,2098,CarbonEmissions,0.0
0.0001,0,0,2099,CarbonEmissions,0.0
0.0001,0,0,2100,CarbonEmissions,0.0
0.349,0.349,0.349,2019,CarbonEmissions_per_capita,0.34922
0.365,0.365,0.365,2020,CarbonEmissions_per_capita,0.36467
0.374,0.374,0.374,2021,CarbonEmissions_per_capita,0.37405
0.365,0.365,0.365,2022,CarbonEmissions_per_capita,0.3646
0.349,0.349,0.349,2023,CarbonEmissions_per_capita,0.34944
0.357,0.357,0.357,2024,CarbonEmissions_per_capita,0.3572
0.372,0.372,0.375,2025,CarbonEmissions_per_capita,0.37512
0.385,0.385,0.387,2026,CarbonEmissions_per_capita,0.38707
0.394,0.394,0.388,2027,CarbonEmissions_per_capita,0.38785
0.403,0.403,0.381,2028,CarbonEmissions_per_capita,0.38075
0.413,0.413,0.37,2029,CarbonEmissions_per_capita,0.37021
0.424,0.425,0.359,2030,CarbonEmissions_per_capita,0.35794
0.434,0.437,0.348,2031,CarbonEmissions_per_capita,0.3467
0.442,0.446,0.34,2032,CarbonEmissions_per_capita,0.33755
0.45,0.456,0.333,2033,CarbonEmissions_per_capita,0.33009
0.456,0.464,0.328,2034,CarbonEmissions_per_capita,0.32397
0.462,0.472,0.323,2035,CarbonEmissions_per_capita,0.3172
0.468,0.481,0.318,2036,CarbonEmissions_per_capita,0.31103
0.473,0.486,0.308,2037,CarbonEmissions_per_capita,0.30009
0.476,0.491,0.296,2038,CarbonEmissions_per_capita,0.28767
0.48,0.495,0.283,2039,CarbonEmissions_per_capita,0.2734
0.483,0.5,0.267,2040,CarbonEmissions_per_capita,0.25718
0.486,0.505,0.249,2041,CarbonEmissions_per_capita,0.24007
0.489,0.508,0.232,2042,CarbonEmissions_per_capita,0.22301
0.491,0.511,0.214,2043,CarbonEmissions_per_capita,0.2057
0.491,0.514,0.198,2044,CarbonEmissions_per_capita,0.18929
0.491,0.516,0.183,2045,CarbonEmissions_per_capita,0.17386
0.491,0.518,0.169,2046,CarbonEmissions_per_capita,0.16026
0.492,0.521,0.161,2047,CarbonEmissions_per_capita,0.15228
0.494,0.524,0.155,2048,CarbonEmissions_per_capita,0.14578
0.496,0.528,0.15,2049,CarbonEmissions_per_capita,0.14015
0.498,0.535,0.145,2050,CarbonEmissions_per_capita,0.13447
0.501,0.541,0.14,2051,CarbonEmissions_per_capita,0.12952
0.504,0.548,0.136,2052,CarbonEmissions_per_capita,0.125
0.506,0.554,0.131,2053,CarbonEmissions_per_capita,0.12044
0.509,0.561,0.126,2054,CarbonEmissions_per_capita,0.11542
0.512,0.568,0.12,2055,CarbonEmissions_per_capita,0.10976
0.515,0.576,0.112,2056,CarbonEmissions_per_capita,0.10283
0.518,0.583,0.103,2057,CarbonEmissions_per_capita,0.09507
0.521,0.591,0.096,2058,CarbonEmissions_per_capita,0.08787
0.525,0.599,0.089,2059,CarbonEmissions_per_capita,0.08079
0.528,0.607,0.083,2060,CarbonEmissions_per_capita,0.07518
0.532,0.615,0.077,2061,CarbonEmissions_per_capita,0.06967
0.535,0.623,0.072,2062,CarbonEmissions_per_capita,0.06473
0.538,0.631,0.067,2063,CarbonEmissions_per_capita,0.06003
0.541,0.639,0.063,2064,CarbonEmissions_per_capita,0.0557
0.544,0.647,0.059,2065,CarbonEmissions_per_capita,0.05207
0.546,0.654,0.056,2066,CarbonEmissions_per_capita,0.04888
0.547,0.661,0.053,2067,CarbonEmissions_per_capita,0.04567
0.548,0.668,0.049,2068,CarbonEmissions_per_capita,0.04248
0.549,0.672,0.046,2069,CarbonEmissions_per_capita,0.03931
0.549,0.676,0.042,2070,CarbonEmissions_per_capita,0.03602
0.548,0.679,0.039,2071,CarbonEmissions_per_capita,0.03289
0.547,0.679,0.036,2072,CarbonEmissions_per_capita,0.02977
