Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.12683,0.12683,0.12683,2019,CarbonEmissions,0.12683
0.12608,0.12608,0.12608,2020,CarbonEmissions,0.12608
0.12563,0.12563,0.12563,2021,CarbonEmissions,0.12563
0.12537,0.12537,0.12537,2022,CarbonEmissions,0.12537
0.12579,0.12579,0.12579,2023,CarbonEmissions,0.12579
0.12401,0.12401,0.12401,2024,CarbonEmissions,0.12401
0.12211,0.12211,0.12302,2025,CarbonEmissions,0.12302
0.1207,0.12072,0.12086,2026,CarbonEmissions,0.12085
0.11988,0.11985,0.11717,2027,CarbonEmissions,0.11719
0.11967,0.11954,0.11215,2028,CarbonEmissions,0.11226
0.11958,0.1194,0.10618,2029,CarbonEmissions,0.10632
0.11949,0.11939,0.0999,2030,CarbonEmissions,0.10002
0.119,0.11907,0.09438,2031,CarbonEmissions,0.09441
0.11783,0.11815,0.08965,2032,CarbonEmissions,0.08957
0.11635,0.11691,0.08551,2033,CarbonEmissions,0.0853
0.11466,0.11536,0.08178,2034,CarbonEmissions,0.08146
0.11295,0.11376,0.07808,2035,CarbonEmissions,0.07765
0.11122,0.11226,0.07459,2036,CarbonEmissions,0.0741
0.10956,0.11076,0.07023,2037,CarbonEmissions,0.06973
0.10793,0.1091,0.06582,2038,CarbonEmissions,0.06528
0.10625,0.1074,0.06141,2039,CarbonEmissions,0.06094
0.1047,0.10585,0.05688,2040,CarbonEmissions,0.0565
0.10312,0.10438,0.05255,2041,CarbonEmissions,0.05225
0.10151,0.10286,0.04853,2042,CarbonEmissions,0.0483
0.09992,0.10134,0.04478,2043,CarbonEmissions,0.04461
0.09814,0.0996,0.04131,2044,CarbonEmissions,0.04118
0.09634,0.09781,0.03811,2045,CarbonEmissions,0.03803
0.09456,0.09603,0.03547,2046,CarbonEmissions,0.03538
0.0928,0.0943,0.0338,2047,CarbonEmissions,0.03372
0.09111,0.0926,0.03244,2048,CarbonEmissions,0.03234
