Baseline,SDG Push,JET SDG,Year,indicator,Enhanced NDC
0.00157,0.00157,0.00157,2019,CarbonEmissions,0.00157
0.00193,0.00193,0.00193,2020,CarbonEmissions,0.00193
0.00212,0.00212,0.00212,2021,CarbonEmissions,0.00212
0.00231,0.00231,0.00231,2022,CarbonEmissions,0.00231
0.00257,0.00257,0.00257,2023,CarbonEmissions,0.00257
0.00276,0.00276,0.00276,2024,CarbonEmissions,0.00276
0.00296,0.00296,0.00307,2025,CarbonEmissions,0.00307
0.0032,0.00321,0.0034,2026,CarbonEmissions,0.0034
0.00347,0.00347,0.0037,2027,CarbonEmissions,0.0037
0.0038,0.00379,0.00398,2028,CarbonEmissions,0.00399
0.00414,0.00413,0.00422,2029,CarbonEmissions,0.00422
0.0045,0.0045,0.00443,2030,CarbonEmissions,0.00443
0.00487,0.00489,0.00462,2031,CarbonEmissions,0.00461
0.00521,0.00524,0.00483,2032,CarbonEmissions,0.0048
0.00555,0.0056,0.00506,2033,CarbonEmissions,0.00501
0.00589,0.00596,0.0053,2034,CarbonEmissions,0.00524
0.00623,0.00633,0.00554,2035,CarbonEmissions,0.00544
0.00659,0.00672,0.00578,2036,CarbonEmissions,0.00565
0.00697,0.00713,0.00602,2037,CarbonEmissions,0.00586
0.00737,0.00754,0.00622,2038,CarbonEmissions,0.00603
0.00776,0.00794,0.00633,2039,CarbonEmissions,0.00612
0.00817,0.00836,0.00632,2040,CarbonEmissions,0.00611
0.00857,0.00878,0.00623,2041,CarbonEmissions,0.00601
0.00897,0.0092,0.00607,2042,CarbonEmissions,0.00585
0.00937,0.00961,0.00587,2043,CarbonEmissions,0.00565
0.00975,0.01001,0.00564,2044,CarbonEmissions,0.00542
0.01013,0.0104,0.00541,2045,CarbonEmissions,0.00518
0.01052,0.0108,0.00519,2046,CarbonEmissions,0.00496
0.01091,0.01122,0.00499,2047,CarbonEmissions,0.00475
0.01132,0.01166,0.00481,2048,CarbonEmissions,0.00457
0.01174,0.01214,0.00468,2049,CarbonEmissions,0.00443
0.01217,0.01265,0.00463,2050,CarbonEmissions,0.00435
0.01261,0.01317,0.00462,2051,CarbonEmissions,0.00432
0.01304,0.01367,0.00465,2052,CarbonEmissions,0.00432
0.01347,0.01416,0.00469,2053,CarbonEmissions,0.00434
0.01389,0.01464,0.00474,2054,CarbonEmissions,0.00436
0.01431,0.0151,0.00476,2055,CarbonEmissions,0.0044
0.01471,0.01555,0.00475,2056,CarbonEmissions,0.00441
0.0151,0.01598,0.00475,2057,CarbonEmissions,0.00441
0.01548,0.0164,0.00469,2058,CarbonEmissions,0.00435
0.01585,0.01679,0.00464,2059,CarbonEmissions,0.00428
0.0162,0.01719,0.00454,2060,CarbonEmissions,0.00416
0.0165,0.01757,0.00441,2061,CarbonEmissions,0.00403
0.0168,0.01796,0.00426,2062,CarbonEmissions,0.00389
0.01711,0.01835,0.00409,2063,CarbonEmissions,0.00374
0.01741,0.01876,0.00392,2064,CarbonEmissions,0.00357
0.01772,0.01918,0.00378,2065,CarbonEmissions,0.00343
0.01804,0.01962,0.00363,2066,CarbonEmissions,0.00328
0.01836,0.02005,0.00349,2067,CarbonEmissions,0.00315
0.01867,0.02049,0.00336,2068,CarbonEmissions,0.00302
0.019,0.02089,0.00324,2069,CarbonEmissions,0.0029
