Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.00302,0.00302,0.00302,2019,CarbonEmissions,AFG,0.00302
0.00344,0.00344,0.00344,2020,CarbonEmissions,AFG,0.00344
0.00369,0.00369,0.00369,2021,CarbonEmissions,AFG,0.00369
0.00335,0.00335,0.00335,2022,CarbonEmissions,AFG,0.00335
0.00306,0.00306,0.00306,2023,CarbonEmissions,AFG,0.00306
0.00303,0.00303,0.00302,2024,CarbonEmissions,AFG,0.00302
0.00319,0.00319,0.00332,2025,CarbonEmissions,AFG,0.00332
0.00344,0.00344,0.00369,2026,CarbonEmissions,AFG,0.00369
0.00378,0.00378,0.00407,2027,CarbonEmissions,AFG,0.00407
0.00405,0.00408,0.00434,2028,CarbonEmissions,AFG,0.00431
0.00438,0.00442,0.00458,2029,CarbonEmissions,AFG,0.00454
0.0047,0.00478,0.00479,2030,CarbonEmissions,AFG,0.00472
0.00503,0.00513,0.00491,2031,CarbonEmissions,AFG,0.00483
0.00532,0.00543,0.00504,2032,CarbonEmissions,AFG,0.00496
0.00557,0.00571,0.00519,2033,CarbonEmissions,AFG,0.00508
0.00581,0.00598,0.00538,2034,CarbonEmissions,AFG,0.00524
0.00606,0.00627,0.00557,2035,CarbonEmissions,AFG,0.00539
0.00633,0.00658,0.0058,2036,CarbonEmissions,AFG,0.00559
0.00662,0.00691,0.00613,2037,CarbonEmissions,AFG,0.00588
0.00692,0.00724,0.00645,2038,CarbonEmissions,AFG,0.00615
0.00723,0.00758,0.00672,2039,CarbonEmissions,AFG,0.00638
0.00757,0.00795,0.00689,2040,CarbonEmissions,AFG,0.00653
0.00792,0.00835,0.00704,2041,CarbonEmissions,AFG,0.00664
0.00827,0.00875,0.00716,2042,CarbonEmissions,AFG,0.00672
0.00862,0.00918,0.00726,2043,CarbonEmissions,AFG,0.00678
0.00899,0.00961,0.00733,2044,CarbonEmissions,AFG,0.00682
0.00935,0.01002,0.00738,2045,CarbonEmissions,AFG,0.00685
0.00973,0.01044,0.00738,2046,CarbonEmissions,AFG,0.00683
0.01011,0.01088,0.00725,2047,CarbonEmissions,AFG,0.00667
0.01052,0.01134,0.0072,2048,CarbonEmissions,AFG,0.00659
0.01094,0.01182,0.00721,2049,CarbonEmissions,AFG,0.00655
0.01137,0.01234,0.00722,2050,CarbonEmissions,AFG,0.00647
0.01181,0.01285,0.00731,2051,CarbonEmissions,AFG,0.00648
0.01225,0.01334,0.00744,2052,CarbonEmissions,AFG,0.00658
0.01269,0.01381,0.00762,2053,CarbonEmissions,AFG,0.00672
0.01312,0.01427,0.00783,2054,CarbonEmissions,AFG,0.00687
0.01355,0.01471,0.00801,2055,CarbonEmissions,AFG,0.00701
0.01395,0.01507,0.00816,2056,CarbonEmissions,AFG,0.00716
0.01433,0.01544,0.00818,2057,CarbonEmissions,AFG,0.00721
0.01469,0.01574,0.00816,2058,CarbonEmissions,AFG,0.0072
0.01495,0.01601,0.00808,2059,CarbonEmissions,AFG,0.00711
0.01522,0.01624,0.00799,2060,CarbonEmissions,AFG,0.00701
0.01548,0.01644,0.00786,2061,CarbonEmissions,AFG,0.00686
0.01566,0.01662,0.00768,2062,CarbonEmissions,AFG,0.00669
0.01587,0.01679,0.00743,2063,CarbonEmissions,AFG,0.00651
0.01604,0.01696,0.00716,2064,CarbonEmissions,AFG,0.00633
0.01624,0.01713,0.00684,2065,CarbonEmissions,AFG,0.00611
0.01643,0.01731,0.00657,2066,CarbonEmissions,AFG,0.00594
0.01663,0.01751,0.00634,2067,CarbonEmissions,AFG,0.00579
0.01684,0.01775,0.00612,2068,CarbonEmissions,AFG,0.00566
0.01708,0.01802,0.00592,2069,CarbonEmissions,AFG,0.00555
0.01735,0.01834,0.00571,2070,CarbonEmissions,AFG,0.00543
0.01766,0.01871,0.00553,2071,CarbonEmissions,AFG,0.00534
0.01801,0.01913,0.00535,2072,CarbonEmissions,AFG,0.00527
0.01837,0.01961,0.00516,2073,CarbonEmissions,AFG,0.00522
0.01876,0.02015,0.00502,2074,CarbonEmissions,AFG,0.00517
0.01918,0.02075,0.00487,2075,CarbonEmissions,AFG,0.0051
0.0196,0.02132,0.0047,2076,CarbonEmissions,AFG,0.005
0.02002,0.0219,0.00452,2077,CarbonEmissions,AFG,0.00488
0.0204,0.02249,0.00434,2078,CarbonEmissions,AFG,0.00474
0.02077,0.02303,0.00416,2079,CarbonEmissions,AFG,0.00457
0.02115,0.02357,0.004,2080,CarbonEmissions,AFG,0.00439
0.02153,0.02409,0.00386,2081,CarbonEmissions,AFG,0.00422
0.02188,0.02457,0.00374,2082,CarbonEmissions,AFG,0.00405
0.0222,0.025,0.00363,2083,CarbonEmissions,AFG,0.0039
0.02247,0.02539,0.00356,2084,CarbonEmissions,AFG,0.00375
0.0227,0.02584,0.00348,2085,CarbonEmissions,AFG,0.00361
0.02289,0.02616,0.00341,2086,CarbonEmissions,AFG,0.00348
0.02304,0.0264,0.00334,2087,CarbonEmissions,AFG,0.00336
0.02314,0.02654,0.00328,2088,CarbonEmissions,AFG,0.00324
0.0232,0.02662,0.00322,2089,CarbonEmissions,AFG,0.00313
0.02321,0.02662,0.00316,2090,CarbonEmissions,AFG,0.00303
0.02317,0.02652,0.00311,2091,CarbonEmissions,AFG,0.00293
0.02307,0.02635,0.00306,2092,CarbonEmissions,AFG,0.00282
0.02295,0.02613,0.00301,2093,CarbonEmissions,AFG,0.00273
0.02279,0.0259,0.00296,2094,CarbonEmissions,AFG,0.00264
0.02258,0.02561,0.00293,2095,CarbonEmissions,AFG,0.00255
0.02231,0.02525,0.0029,2096,CarbonEmissions,AFG,0.00247
0.022,0.02485,0.00287,2097,CarbonEmissions,AFG,0.00238
0.02165,0.02441,0.00284,2098,CarbonEmissions,AFG,0.0023
0.02125,0.02395,0.00272,2099,CarbonEmissions,AFG,0.00214
0.02077,0.02331,0.00261,2100,CarbonEmissions,AFG,0.002
0.00557,0.00557,0.00557,2019,CarbonEmissions,AGO,0.00557
0.00645,0.00645,0.00645,2020,CarbonEmissions,AGO,0.00645
0.00687,0.00687,0.00687,2021,CarbonEmissions,AGO,0.00687
0.0071,0.0071,0.0071,2022,CarbonEmissions,AGO,0.0071
0.00746,0.00746,0.00746,2023,CarbonEmissions,AGO,0.00746
0.00759,0.00759,0.0076,2024,CarbonEmissions,AGO,0.0076
0.0079,0.0079,0.00845,2025,CarbonEmissions,AGO,0.00845
0.00822,0.00822,0.00921,2026,CarbonEmissions,AGO,0.00921
0.00868,0.00867,0.0099,2027,CarbonEmissions,AGO,0.00991
0.00929,0.00928,0.01051,2028,CarbonEmissions,AGO,0.01053
0.01005,0.01002,0.01106,2029,CarbonEmissions,AGO,0.01109
0.01089,0.01087,0.01162,2030,CarbonEmissions,AGO,0.01164
0.01176,0.01177,0.01205,2031,CarbonEmissions,AGO,0.01207
0.01258,0.01264,0.01263,2032,CarbonEmissions,AGO,0.01262
0.0134,0.01352,0.01334,2033,CarbonEmissions,AGO,0.01329
0.01417,0.01435,0.0142,2034,CarbonEmissions,AGO,0.01408
0.01495,0.01521,0.01501,2035,CarbonEmissions,AGO,0.01482
0.01576,0.01612,0.01596,2036,CarbonEmissions,AGO,0.01568
0.01662,0.01709,0.01726,2037,CarbonEmissions,AGO,0.01686
0.01751,0.01804,0.01844,2038,CarbonEmissions,AGO,0.01794
0.01848,0.01905,0.01947,2039,CarbonEmissions,AGO,0.01892
0.01951,0.02017,0.02021,2040,CarbonEmissions,AGO,0.0196
0.02063,0.02144,0.02079,2041,CarbonEmissions,AGO,0.0201
0.02183,0.02276,0.02125,2042,CarbonEmissions,AGO,0.02051
0.02306,0.02411,0.02156,2043,CarbonEmissions,AGO,0.02076
0.02423,0.0254,0.02174,2044,CarbonEmissions,AGO,0.0209
0.02543,0.02671,0.02184,2045,CarbonEmissions,AGO,0.02094
0.0266,0.02798,0.02184,2046,CarbonEmissions,AGO,0.02089
0.02774,0.02921,0.02151,2047,CarbonEmissions,AGO,0.02052
0.02888,0.03042,0.02139,2048,CarbonEmissions,AGO,0.02034
0.03003,0.03165,0.02148,2049,CarbonEmissions,AGO,0.02037
0.03118,0.03298,0.02175,2050,CarbonEmissions,AGO,0.02053
0.0323,0.03424,0.0223,2051,CarbonEmissions,AGO,0.02096
0.03342,0.03545,0.02307,2052,CarbonEmissions,AGO,0.02157
0.03453,0.03662,0.02399,2053,CarbonEmissions,AGO,0.02232
0.03563,0.03778,0.02498,2054,CarbonEmissions,AGO,0.02316
0.03673,0.03893,0.0259,2055,CarbonEmissions,AGO,0.024
0.03781,0.04009,0.0267,2056,CarbonEmissions,AGO,0.02478
0.03888,0.04123,0.0273,2057,CarbonEmissions,AGO,0.02541
