Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.08,0.08,0.08,2019,CarbonEmissions_per_capita,AFG,0.07988
0.089,0.089,0.089,2020,CarbonEmissions_per_capita,AFG,0.08862
0.092,0.092,0.092,2021,CarbonEmissions_per_capita,AFG,0.0924
0.082,0.082,0.082,2022,CarbonEmissions_per_capita,AFG,0.08157
0.072,0.072,0.072,2023,CarbonEmissions_per_capita,AFG,0.07245
0.07,0.07,0.07,2024,CarbonEmissions_per_capita,AFG,0.06952
0.071,0.071,0.074,2025,CarbonEmissions_per_capita,AFG,0.07423
0.075,0.075,0.08,2026,CarbonEmissions_per_capita,AFG,0.08018
0.08,0.08,0.086,2027,CarbonEmissions_per_capita,AFG,0.08599
0.083,0.084,0.089,2028,CarbonEmissions_per_capita,AFG,0.0887
0.088,0.088,0.092,2029,CarbonEmissions_per_capita,AFG,0.0909
0.092,0.093,0.093,2030,CarbonEmissions_per_capita,AFG,0.092
0.095,0.097,0.093,2031,CarbonEmissions_per_capita,AFG,0.09161
0.098,0.1,0.093,2032,CarbonEmissions_per_capita,AFG,0.0917
0.1,0.103,0.094,2033,CarbonEmissions_per_capita,AFG,0.09154
0.102,0.105,0.095,2034,CarbonEmissions_per_capita,AFG,0.09203
0.104,0.108,0.096,2035,CarbonEmissions_per_capita,AFG,0.09242
0.106,0.11,0.097,2036,CarbonEmissions_per_capita,AFG,0.0934
0.108,0.113,0.1,2037,CarbonEmissions_per_capita,AFG,0.09593
0.11,0.116,0.103,2038,CarbonEmissions_per_capita,AFG,0.09805
0.113,0.119,0.105,2039,CarbonEmissions_per_capita,AFG,0.09937
0.115,0.122,0.106,2040,CarbonEmissions_per_capita,AFG,0.09939
0.118,0.125,0.106,2041,CarbonEmissions_per_capita,AFG,0.09882
0.12,0.128,0.105,2042,CarbonEmissions_per_capita,AFG,0.09786
0.123,0.132,0.104,2043,CarbonEmissions_per_capita,AFG,0.09658
0.125,0.135,0.103,2044,CarbonEmissions_per_capita,AFG,0.09515
0.128,0.139,0.102,2045,CarbonEmissions_per_capita,AFG,0.09362
0.13,0.142,0.1,2046,CarbonEmissions_per_capita,AFG,0.09138
0.133,0.145,0.097,2047,CarbonEmissions_per_capita,AFG,0.08753
0.135,0.148,0.094,2048,CarbonEmissions_per_capita,AFG,0.08471
0.138,0.152,0.093,2049,CarbonEmissions_per_capita,AFG,0.08259
0.141,0.156,0.091,2050,CarbonEmissions_per_capita,AFG,0.08008
0.143,0.159,0.091,2051,CarbonEmissions_per_capita,AFG,0.07877
0.146,0.163,0.091,2052,CarbonEmissions_per_capita,AFG,0.07843
0.149,0.166,0.092,2053,CarbonEmissions_per_capita,AFG,0.07873
0.151,0.169,0.093,2054,CarbonEmissions_per_capita,AFG,0.07913
0.153,0.172,0.093,2055,CarbonEmissions_per_capita,AFG,0.07932
0.155,0.173,0.094,2056,CarbonEmissions_per_capita,AFG,0.07968
0.157,0.175,0.093,2057,CarbonEmissions_per_capita,AFG,0.07888
0.158,0.176,0.091,2058,CarbonEmissions_per_capita,AFG,0.07756
0.158,0.176,0.089,2059,CarbonEmissions_per_capita,AFG,0.07538
0.159,0.177,0.087,2060,CarbonEmissions_per_capita,AFG,0.07317
0.159,0.177,0.085,2061,CarbonEmissions_per_capita,AFG,0.07051
0.158,0.177,0.082,2062,CarbonEmissions_per_capita,AFG,0.06784
0.158,0.176,0.078,2063,CarbonEmissions_per_capita,AFG,0.06507
0.158,0.176,0.074,2064,CarbonEmissions_per_capita,AFG,0.06236
0.158,0.176,0.07,2065,CarbonEmissions_per_capita,AFG,0.05943
0.157,0.176,0.067,2066,CarbonEmissions_per_capita,AFG,0.05703
0.157,0.177,0.064,2067,CarbonEmissions_per_capita,AFG,0.05492
0.157,0.177,0.061,2068,CarbonEmissions_per_capita,AFG,0.05303
0.158,0.178,0.059,2069,CarbonEmissions_per_capita,AFG,0.05138
