Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
47.36,47.36,47.36,2019,ChildMort5Yrs,AFG,47.36
46.16,46.16,46.16,2020,ChildMort5Yrs,AFG,46.16
48.45,48.45,48.45,2021,ChildMort5Yrs,AFG,48.45
48.73,48.73,48.73,2022,ChildMort5Yrs,AFG,48.73
48.14,48.14,48.14,2023,ChildMort5Yrs,AFG,48.14
47.32,47.32,47.32,2024,ChildMort5Yrs,AFG,47.32
45.82,45.28,45.28,2025,ChildMort5Yrs,AFG,45.82
44.21,43.6,43.6,2026,ChildMort5Yrs,AFG,44.21
42.83,41.65,41.65,2027,ChildMort5Yrs,AFG,42.83
41.31,39.81,39.82,2028,ChildMort5Yrs,AFG,41.32
39.81,38.04,38.05,2029,ChildMort5Yrs,AFG,39.82
38.39,36.43,36.45,2030,ChildMort5Yrs,AFG,38.4
37.16,35.08,35.09,2031,ChildMort5Yrs,AFG,37.16
36.17,33.88,33.87,2032,ChildMort5Yrs,AFG,36.14
35.3,32.83,32.79,2033,ChildMort5Yrs,AFG,35.25
34.61,31.94,31.88,2034,ChildMort5Yrs,AFG,34.52
34.0,31.11,31.03,2035,ChildMort5Yrs,AFG,33.88
33.46,30.34,30.25,2036,ChildMort5Yrs,AFG,33.31
32.98,29.62,29.5,2037,ChildMort5Yrs,AFG,32.81
32.54,28.97,28.84,2038,ChildMort5Yrs,AFG,32.37
32.13,28.34,28.2,2039,ChildMort5Yrs,AFG,31.96
31.68,27.68,27.54,2040,ChildMort5Yrs,AFG,31.52
31.22,27.04,26.89,2041,ChildMort5Yrs,AFG,31.02
30.67,26.4,26.24,2042,ChildMort5Yrs,AFG,30.45
30.13,25.76,25.59,2043,ChildMort5Yrs,AFG,29.88
29.62,25.14,24.94,2044,ChildMort5Yrs,AFG,29.33
29.09,24.54,24.32,2045,ChildMort5Yrs,AFG,28.72
28.52,23.95,23.71,2046,ChildMort5Yrs,AFG,28.12
27.94,23.37,23.13,2047,ChildMort5Yrs,AFG,27.54
27.37,22.79,22.55,2048,ChildMort5Yrs,AFG,26.97
26.8,22.24,22.0,2049,ChildMort5Yrs,AFG,26.4
26.24,21.72,21.47,2050,ChildMort5Yrs,AFG,25.84
25.69,21.22,20.97,2051,ChildMort5Yrs,AFG,25.29
25.14,20.76,20.52,2052,ChildMort5Yrs,AFG,24.75
24.6,20.33,20.1,2053,ChildMort5Yrs,AFG,24.22
24.08,19.9,19.69,2054,ChildMort5Yrs,AFG,23.71
23.6,19.52,19.3,2055,ChildMort5Yrs,AFG,23.24
23.14,19.12,18.91,2056,ChildMort5Yrs,AFG,22.8
22.7,18.74,18.53,2057,ChildMort5Yrs,AFG,22.38
22.28,18.36,18.15,2058,ChildMort5Yrs,AFG,21.99
21.88,17.98,17.78,2059,ChildMort5Yrs,AFG,21.6
21.49,17.63,17.43,2060,ChildMort5Yrs,AFG,21.25
21.13,17.27,17.08,2061,ChildMort5Yrs,AFG,20.9
20.78,16.92,16.73,2062,ChildMort5Yrs,AFG,20.57
20.44,16.57,16.39,2063,ChildMort5Yrs,AFG,20.24
20.1,16.23,16.05,2064,ChildMort5Yrs,AFG,19.91
19.78,15.89,15.71,2065,ChildMort5Yrs,AFG,19.58
19.46,15.56,15.38,2066,ChildMort5Yrs,AFG,19.25
19.13,15.23,15.06,2067,ChildMort5Yrs,AFG,18.92
18.82,14.92,14.74,2068,ChildMort5Yrs,AFG,18.59
18.5,14.61,14.42,2069,ChildMort5Yrs,AFG,18.27
18.2,14.3,14.12,2070,ChildMort5Yrs,AFG,17.96
17.91,14.01,13.81,2071,ChildMort5Yrs,AFG,17.66
17.62,13.71,13.51,2072,ChildMort5Yrs,AFG,17.36
17.33,13.41,13.21,2073,ChildMort5Yrs,AFG,17.07
17.05,13.12,12.9,2074,ChildMort5Yrs,AFG,16.77
16.76,12.83,12.6,2075,ChildMort5Yrs,AFG,16.47
16.48,12.53,12.3,2076,ChildMort5Yrs,AFG,16.17
16.19,12.29,12.13,2077,ChildMort5Yrs,AFG,15.87
15.91,12.15,11.97,2078,ChildMort5Yrs,AFG,15.57
15.62,11.97,11.76,2079,ChildMort5Yrs,AFG,15.27
15.33,11.75,11.52,2080,ChildMort5Yrs,AFG,14.97
15.04,11.49,11.25,2081,ChildMort5Yrs,AFG,14.67
14.75,11.21,10.91,2082,ChildMort5Yrs,AFG,14.37
14.46,10.88,10.62,2083,ChildMort5Yrs,AFG,14.08
14.18,10.58,10.31,2084,ChildMort5Yrs,AFG,13.79
13.89,10.27,10.01,2085,ChildMort5Yrs,AFG,13.51
13.61,9.97898,9.71915,2086,ChildMort5Yrs,AFG,13.23
13.33,9.685,9.42973,2087,ChildMort5Yrs,AFG,12.96
13.06,9.39423,9.14265,2088,ChildMort5Yrs,AFG,12.69
12.79,9.10564,8.85631,2089,ChildMort5Yrs,AFG,12.42
12.52,8.81869,8.57161,2090,ChildMort5Yrs,AFG,12.15
12.25,8.53324,8.28749,2091,ChildMort5Yrs,AFG,11.89
11.99,8.24767,8.00318,2092,ChildMort5Yrs,AFG,11.63
11.72,7.96058,7.71832,2093,ChildMort5Yrs,AFG,11.44
11.55,7.67211,7.43106,2094,ChildMort5Yrs,AFG,11.29
11.39,7.38263,7.13944,2095,ChildMort5Yrs,AFG,11.09
11.18,7.08933,6.85287,2096,ChildMort5Yrs,AFG,10.89
10.98,6.80398,6.61359,2097,ChildMort5Yrs,AFG,10.66
10.74,6.56733,6.41642,2098,ChildMort5Yrs,AFG,10.41
10.49,6.3757,6.25149,2099,ChildMort5Yrs,AFG,10.16
10.24,6.21308,6.13884,2100,ChildMort5Yrs,AFG,9.91942
53.7,53.7,53.7,2019,ChildMort5Yrs,AGO,53.7
54.78,54.78,54.78,2020,ChildMort5Yrs,AGO,54.78
53.53,53.53,53.53,2021,ChildMort5Yrs,AGO,53.53
51.43,51.43,51.43,2022,ChildMort5Yrs,AGO,51.43
50.38,50.38,50.38,2023,ChildMort5Yrs,AGO,50.38
48.69,48.69,48.69,2024,ChildMort5Yrs,AGO,48.69
47.19,46.93,46.93,2025,ChildMort5Yrs,AGO,47.19
45.61,45.21,45.22,2026,ChildMort5Yrs,AGO,45.63
43.8,43.13,43.14,2027,ChildMort5Yrs,AGO,43.81
42.04,41.12,41.15,2028,ChildMort5Yrs,AGO,42.07
40.32,39.19,39.19,2029,ChildMort5Yrs,AGO,40.33
38.69,37.36,37.25,2030,ChildMort5Yrs,AGO,38.61
37.17,35.66,35.42,2031,ChildMort5Yrs,AGO,36.97
35.77,34.08,33.74,2032,ChildMort5Yrs,AGO,35.46
34.5,32.64,32.19,2033,ChildMort5Yrs,AGO,34.06
33.35,31.32,30.79,2034,ChildMort5Yrs,AGO,32.82
32.27,30.09,29.51,2035,ChildMort5Yrs,AGO,31.67
31.24,28.93,28.34,2036,ChildMort5Yrs,AGO,30.62
30.25,27.82,27.23,2037,ChildMort5Yrs,AGO,29.61
29.28,26.81,26.19,2038,ChildMort5Yrs,AGO,28.62
28.32,25.81,25.17,2039,ChildMort5Yrs,AGO,27.62
27.38,24.84,24.19,2040,ChildMort5Yrs,AGO,26.66
26.46,23.9,23.22,2041,ChildMort5Yrs,AGO,25.71
25.57,23.01,22.3,2042,ChildMort5Yrs,AGO,24.8
24.74,22.15,21.44,2043,ChildMort5Yrs,AGO,23.96
23.96,21.35,20.63,2044,ChildMort5Yrs,AGO,23.18
23.23,20.6,19.86,2045,ChildMort5Yrs,AGO,22.42
22.54,19.92,19.12,2046,ChildMort5Yrs,AGO,21.69
21.88,19.25,18.42,2047,ChildMort5Yrs,AGO,20.99
21.24,18.62,17.75,2048,ChildMort5Yrs,AGO,20.31
20.62,18.0,17.12,2049,ChildMort5Yrs,AGO,19.67
20.03,17.42,16.54,2050,ChildMort5Yrs,AGO,19.07
19.46,16.85,15.98,2051,ChildMort5Yrs,AGO,18.52
18.91,16.32,15.49,2052,ChildMort5Yrs,AGO,17.99
18.39,15.81,15.01,2053,ChildMort5Yrs,AGO,17.49
17.88,15.31,14.54,2054,ChildMort5Yrs,AGO,17.0
17.38,14.83,14.09,2055,ChildMort5Yrs,AGO,16.53
16.89,14.37,13.65,2056,ChildMort5Yrs,AGO,16.08
16.43,13.92,13.22,2057,ChildMort5Yrs,AGO,15.64
15.98,13.48,12.8,2058,ChildMort5Yrs,AGO,15.22
15.55,13.06,12.39,2059,ChildMort5Yrs,AGO,14.8
15.13,12.66,11.99,2060,ChildMort5Yrs,AGO,14.39
14.73,12.27,11.6,2061,ChildMort5Yrs,AGO,13.97
14.33,11.9,11.23,2062,ChildMort5Yrs,AGO,13.58
13.94,11.54,10.87,2063,ChildMort5Yrs,AGO,13.2
13.57,11.19,10.52,2064,ChildMort5Yrs,AGO,12.83
13.21,10.85,10.19,2065,ChildMort5Yrs,AGO,12.48
12.86,10.52,9.87194,2066,ChildMort5Yrs,AGO,12.15
12.52,10.19,9.56198,2067,ChildMort5Yrs,AGO,11.84
12.2,9.87733,9.26196,2068,ChildMort5Yrs,AGO,11.53
11.88,9.56822,8.97284,2069,ChildMort5Yrs,AGO,11.24
11.59,9.27714,8.6958,2070,ChildMort5Yrs,AGO,10.97
11.32,9.0019,8.41333,2071,ChildMort5Yrs,AGO,10.71
11.06,8.73383,8.15091,2072,ChildMort5Yrs,AGO,10.46
10.81,8.4722,7.94092,2073,ChildMort5Yrs,AGO,10.23
10.59,8.2388,7.77146,2074,ChildMort5Yrs,AGO,10.02
10.39,8.06947,7.60171,2075,ChildMort5Yrs,AGO,9.82394
10.19,7.89756,7.43344,2076,ChildMort5Yrs,AGO,9.64095
10.01,7.72266,7.26269,2077,ChildMort5Yrs,AGO,9.46647
9.83022,7.54339,7.09078,2078,ChildMort5Yrs,AGO,9.30153
9.65865,7.35866,6.92044,2079,ChildMort5Yrs,AGO,9.14146
9.49057,7.17078,6.75708,2080,ChildMort5Yrs,AGO,8.98871
9.32494,6.98779,6.59927,2081,ChildMort5Yrs,AGO,8.83703
9.16111,6.80982,6.44748,2082,ChildMort5Yrs,AGO,8.6907
8.99952,6.63765,6.30172,2083,ChildMort5Yrs,AGO,8.54156
8.83899,6.47442,6.16411,2084,ChildMort5Yrs,AGO,8.39395
8.67882,6.32045,6.04009,2085,ChildMort5Yrs,AGO,8.24828
8.52152,6.18117,5.92067,2086,ChildMort5Yrs,AGO,8.14412
8.39308,6.05181,5.80541,2087,ChildMort5Yrs,AGO,8.03713
8.27861,5.92734,5.69409,2088,ChildMort5Yrs,AGO,7.92463
8.15882,5.80642,5.58568,2089,ChildMort5Yrs,AGO,7.80618
8.03117,5.69112,5.48145,2090,ChildMort5Yrs,AGO,7.68342
7.88921,5.57899,5.38051,2091,ChildMort5Yrs,AGO,7.55466
7.74343,5.46815,5.27661,2092,ChildMort5Yrs,AGO,7.428
7.5995,5.36108,5.17467,2093,ChildMort5Yrs,AGO,7.29798
7.46399,5.25679,5.08019,2094,ChildMort5Yrs,AGO,7.17467
7.33392,5.15685,4.98837,2095,ChildMort5Yrs,AGO,7.05688
7.20978,5.0621,4.90212,2096,ChildMort5Yrs,AGO,6.94491
7.09203,4.97286,4.82125,2097,ChildMort5Yrs,AGO,6.83935
6.98117,4.88873,4.74487,2098,ChildMort5Yrs,AGO,6.74104
6.87736,4.80962,4.67295,2099,ChildMort5Yrs,AGO,6.64982
6.78,4.73373,4.60481,2100,ChildMort5Yrs,AGO,6.5645
10.67,10.67,10.67,2019,ChildMort5Yrs,ALB,10.67
10.97,10.97,10.97,2020,ChildMort5Yrs,ALB,10.97
10.55,10.55,10.55,2021,ChildMort5Yrs,ALB,10.55
