Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.04,0.04,0.04,2019,ENDEM,AFG,0.03959
0.043,0.043,0.043,2020,ENDEM,AFG,0.04335
0.045,0.045,0.045,2021,ENDEM,AFG,0.04511
0.042,0.042,0.042,2022,ENDEM,AFG,0.04236
0.04,0.04,0.04,2023,ENDEM,AFG,0.03991
0.04,0.04,0.04,2024,ENDEM,AFG,0.0401
0.042,0.042,0.042,2025,ENDEM,AFG,0.04197
0.045,0.045,0.045,2026,ENDEM,AFG,0.04467
0.048,0.048,0.048,2027,ENDEM,AFG,0.04776
0.05,0.051,0.051,2028,ENDEM,AFG,0.0505
0.053,0.054,0.054,2029,ENDEM,AFG,0.05359
0.056,0.057,0.058,2030,ENDEM,AFG,0.0567
0.059,0.06,0.061,2031,ENDEM,AFG,0.05999
0.062,0.063,0.065,2032,ENDEM,AFG,0.06338
0.064,0.066,0.068,2033,ENDEM,AFG,0.06645
0.067,0.069,0.071,2034,ENDEM,AFG,0.06964
0.07,0.072,0.075,2035,ENDEM,AFG,0.07305
0.073,0.075,0.079,2036,ENDEM,AFG,0.07666
0.076,0.078,0.083,2037,ENDEM,AFG,0.08048
0.079,0.082,0.088,2038,ENDEM,AFG,0.08449
0.082,0.085,0.092,2039,ENDEM,AFG,0.08871
0.085,0.089,0.097,2040,ENDEM,AFG,0.09316
0.089,0.093,0.103,2041,ENDEM,AFG,0.09785
0.092,0.097,0.108,2042,ENDEM,AFG,0.10272
0.096,0.102,0.114,2043,ENDEM,AFG,0.10789
0.1,0.106,0.12,2044,ENDEM,AFG,0.11348
0.104,0.111,0.127,2045,ENDEM,AFG,0.11938
0.109,0.116,0.134,2046,ENDEM,AFG,0.12562
0.113,0.122,0.142,2047,ENDEM,AFG,0.13217
0.118,0.127,0.15,2048,ENDEM,AFG,0.13907
0.123,0.133,0.158,2049,ENDEM,AFG,0.14636
0.129,0.14,0.167,2050,ENDEM,AFG,0.15397
0.135,0.146,0.176,2051,ENDEM,AFG,0.1619
0.141,0.153,0.186,2052,ENDEM,AFG,0.17005
0.147,0.161,0.195,2053,ENDEM,AFG,0.17861
0.153,0.168,0.206,2054,ENDEM,AFG,0.18744
0.16,0.176,0.216,2055,ENDEM,AFG,0.19646
0.167,0.185,0.227,2056,ENDEM,AFG,0.20567
0.174,0.194,0.238,2057,ENDEM,AFG,0.21518
0.182,0.203,0.25,2058,ENDEM,AFG,0.22496
0.19,0.212,0.262,2059,ENDEM,AFG,0.23511
0.198,0.222,0.274,2060,ENDEM,AFG,0.24483
0.206,0.233,0.287,2061,ENDEM,AFG,0.25486
0.215,0.244,0.299,2062,ENDEM,AFG,0.26521
0.224,0.255,0.313,2063,ENDEM,AFG,0.27596
