Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
2.008,2.008,2.008,2019,ENDEM_GDP,AFG,2.00776
2.251,2.251,2.251,2020,ENDEM_GDP,AFG,2.25144
2.956,2.956,2.956,2021,ENDEM_GDP,AFG,2.95561
2.96,2.96,2.96,2022,ENDEM_GDP,AFG,2.96005
2.669,2.669,2.669,2023,ENDEM_GDP,AFG,2.66915
2.566,2.566,2.566,2024,ENDEM_GDP,AFG,2.56609
2.57,2.57,2.57,2025,ENDEM_GDP,AFG,2.57029
2.617,2.617,2.618,2026,ENDEM_GDP,AFG,2.61761
2.717,2.696,2.699,2027,ENDEM_GDP,AFG,2.72076
2.767,2.75,2.76,2028,ENDEM_GDP,AFG,2.77709
2.839,2.814,2.833,2029,ENDEM_GDP,AFG,2.85736
2.898,2.871,2.902,2030,ENDEM_GDP,AFG,2.92873
2.948,2.91,2.951,2031,ENDEM_GDP,AFG,2.99072
3.003,2.939,2.997,2032,ENDEM_GDP,AFG,3.06091
3.029,2.957,3.034,2033,ENDEM_GDP,AFG,3.10667
3.047,2.965,3.061,2034,ENDEM_GDP,AFG,3.14295
3.061,2.969,3.082,2035,ENDEM_GDP,AFG,3.17665
3.072,2.969,3.1,2036,ENDEM_GDP,AFG,3.20646
3.08,2.966,3.116,2037,ENDEM_GDP,AFG,3.23347
3.085,2.959,3.126,2038,ENDEM_GDP,AFG,3.25763
3.086,2.949,3.134,2039,ENDEM_GDP,AFG,3.2783
3.087,2.935,3.137,2040,ENDEM_GDP,AFG,3.29747
3.089,2.92,3.139,2041,ENDEM_GDP,AFG,3.31776
3.085,2.9,3.138,2042,ENDEM_GDP,AFG,3.33221
3.075,2.881,3.134,2043,ENDEM_GDP,AFG,3.33803
3.065,2.859,3.128,2044,ENDEM_GDP,AFG,3.3458
3.051,2.832,3.12,2045,ENDEM_GDP,AFG,3.3511
3.032,2.8,3.108,2046,ENDEM_GDP,AFG,3.35554
3.01,2.766,3.093,2047,ENDEM_GDP,AFG,3.35607
2.986,2.732,3.072,2048,ENDEM_GDP,AFG,3.35106
2.964,2.697,3.05,2049,ENDEM_GDP,AFG,3.34492
2.935,2.657,3.021,2050,ENDEM_GDP,AFG,3.33537
2.904,2.618,2.998,2051,ENDEM_GDP,AFG,3.32496
2.873,2.578,2.969,2052,ENDEM_GDP,AFG,3.30453
2.842,2.538,2.932,2053,ENDEM_GDP,AFG,3.28295
2.81,2.496,2.893,2054,ENDEM_GDP,AFG,3.26006
2.778,2.455,2.854,2055,ENDEM_GDP,AFG,3.23413
2.746,2.411,2.812,2056,ENDEM_GDP,AFG,3.20547
2.713,2.369,2.769,2057,ENDEM_GDP,AFG,3.17543
2.679,2.327,2.725,2058,ENDEM_GDP,AFG,3.14412
2.644,2.284,2.68,2059,ENDEM_GDP,AFG,3.11107
2.61,2.241,2.627,2060,ENDEM_GDP,AFG,3.06845
2.577,2.198,2.575,2061,ENDEM_GDP,AFG,3.02595
2.541,2.154,2.521,2062,ENDEM_GDP,AFG,2.98266
2.506,2.11,2.467,2063,ENDEM_GDP,AFG,2.93959
2.471,2.067,2.415,2064,ENDEM_GDP,AFG,2.89555
2.435,2.024,2.364,2065,ENDEM_GDP,AFG,2.85395
2.4,1.982,2.312,2066,ENDEM_GDP,AFG,2.80875
2.365,1.941,2.26,2067,ENDEM_GDP,AFG,2.76301
2.331,1.9,2.207,2068,ENDEM_GDP,AFG,2.7173
2.297,1.861,2.154,2069,ENDEM_GDP,AFG,2.67087
2.263,1.821,2.101,2070,ENDEM_GDP,AFG,2.62349
2.23,1.782,2.047,2071,ENDEM_GDP,AFG,2.57537
2.197,1.744,1.992,2072,ENDEM_GDP,AFG,2.52588
2.163,1.705,1.936,2073,ENDEM_GDP,AFG,2.47483
2.129,1.666,1.896,2074,ENDEM_GDP,AFG,2.44161
2.096,1.629,1.856,2075,ENDEM_GDP,AFG,2.40824
2.063,1.591,1.815,2076,ENDEM_GDP,AFG,2.37385
2.029,1.553,1.773,2077,ENDEM_GDP,AFG,2.33816
1.996,1.515,1.732,2078,ENDEM_GDP,AFG,2.30254
1.962,1.477,1.691,2079,ENDEM_GDP,AFG,2.2662
1.928,1.44,1.651,2080,ENDEM_GDP,AFG,2.23064
1.894,1.404,1.613,2081,ENDEM_GDP,AFG,2.19475
1.86,1.369,1.578,2082,ENDEM_GDP,AFG,2.16049
