Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
1.048,1.048,1.048,2019,ENDEM_per_capita,AFG,1.04822
1.117,1.117,1.117,2020,ENDEM_per_capita,AFG,1.11689
1.131,1.131,1.131,2021,ENDEM_per_capita,AFG,1.13054
1.032,1.032,1.032,2022,ENDEM_per_capita,AFG,1.03246
0.946,0.946,0.946,2023,ENDEM_per_capita,AFG,0.94569
0.923,0.923,0.923,2024,ENDEM_per_capita,AFG,0.92327
0.939,0.939,0.939,2025,ENDEM_per_capita,AFG,0.93918
0.971,0.971,0.972,2026,ENDEM_per_capita,AFG,0.97158
1.009,1.009,1.01,2027,ENDEM_per_capita,AFG,1.01006
1.035,1.041,1.045,2028,ENDEM_per_capita,AFG,1.03898
1.066,1.076,1.084,2029,ENDEM_per_capita,AFG,1.07289
1.093,1.11,1.122,2030,ENDEM_per_capita,AFG,1.10495
1.119,1.141,1.161,2031,ENDEM_per_capita,AFG,1.13856
1.144,1.165,1.194,2032,ENDEM_per_capita,AFG,1.17176
1.16,1.187,1.225,2033,ENDEM_per_capita,AFG,1.19737
1.176,1.207,1.256,2034,ENDEM_per_capita,AFG,1.22347
1.194,1.23,1.29,2035,ENDEM_per_capita,AFG,1.25183
1.213,1.254,1.326,2036,ENDEM_per_capita,AFG,1.28196
1.233,1.28,1.365,2037,ENDEM_per_capita,AFG,1.31381
1.255,1.307,1.405,2038,ENDEM_per_capita,AFG,1.34714
1.277,1.335,1.447,2039,ENDEM_per_capita,AFG,1.38193
1.3,1.365,1.492,2040,ENDEM_per_capita,AFG,1.41855
1.324,1.397,1.539,2041,ENDEM_per_capita,AFG,1.45686
1.347,1.429,1.589,2042,ENDEM_per_capita,AFG,1.49616
1.371,1.464,1.642,2043,ENDEM_per_capita,AFG,1.5378
1.398,1.5,1.699,2044,ENDEM_per_capita,AFG,1.5835
1.426,1.537,1.758,2045,ENDEM_per_capita,AFG,1.6315
1.455,1.577,1.82,2046,ENDEM_per_capita,AFG,1.68191
1.487,1.62,1.887,2047,ENDEM_per_capita,AFG,1.73433
1.521,1.666,1.956,2048,ENDEM_per_capita,AFG,1.789
1.557,1.714,2.03,2049,ENDEM_per_capita,AFG,1.84655
1.594,1.764,2.107,2050,ENDEM_per_capita,AFG,1.90592
1.633,1.817,2.188,2051,ENDEM_per_capita,AFG,1.96691
1.675,1.874,2.269,2052,ENDEM_per_capita,AFG,2.02832
1.718,1.932,2.35,2053,ENDEM_per_capita,AFG,2.09241
1.763,1.993,2.435,2054,ENDEM_per_capita,AFG,2.15752
1.809,2.056,2.523,2055,ENDEM_per_capita,AFG,2.22271
1.857,2.123,2.611,2056,ENDEM_per_capita,AFG,2.28805
1.906,2.193,2.702,2057,ENDEM_per_capita,AFG,2.35467
1.956,2.266,2.797,2058,ENDEM_per_capita,AFG,2.42238
2.009,2.342,2.896,2059,ENDEM_per_capita,AFG,2.4922
2.063,2.421,2.989,2060,ENDEM_per_capita,AFG,2.55585
2.12,2.503,3.086,2061,ENDEM_per_capita,AFG,2.62123
2.177,2.589,3.187,2062,ENDEM_per_capita,AFG,2.68838
2.237,2.678,3.292,2063,ENDEM_per_capita,AFG,2.75815
2.298,2.772,3.404,2064,ENDEM_per_capita,AFG,2.8305
2.362,2.87,3.519,2065,ENDEM_per_capita,AFG,2.90627
2.427,2.972,3.638,2066,ENDEM_per_capita,AFG,2.9829
2.495,3.077,3.76,2067,ENDEM_per_capita,AFG,3.06248
2.564,3.186,3.885,2068,ENDEM_per_capita,AFG,3.14436
2.635,3.298,4.013,2069,ENDEM_per_capita,AFG,3.22758
2.708,3.415,4.144,2070,ENDEM_per_capita,AFG,3.31196
2.782,3.536,4.278,2071,ENDEM_per_capita,AFG,3.39719
2.859,3.662,4.416,2072,ENDEM_per_capita,AFG,3.48285
2.938,3.793,4.555,2073,ENDEM_per_capita,AFG,3.56915
3.02,3.931,4.737,2074,ENDEM_per_capita,AFG,3.6863
3.105,4.076,4.926,2075,ENDEM_per_capita,AFG,3.8079
3.194,4.225,5.122,2076,ENDEM_per_capita,AFG,3.93271
3.286,4.383,5.329,2077,ENDEM_per_capita,AFG,4.06222
3.382,4.549,5.546,2078,ENDEM_per_capita,AFG,4.19679
