Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.0,0.0,0.0,2019,ENP_Nuclear,AFG,0.0
0.0,0.0,0.0,2020,ENP_Nuclear,AFG,0.0
0.0,0.0,0.0,2021,ENP_Nuclear,AFG,0.0
0.0001,0.0001,0.0001,2022,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2023,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2024,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2025,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2026,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2027,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2028,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2029,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2030,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2031,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2032,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2033,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0001,2034,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0002,2035,ENP_Nuclear,AFG,0.0001
0.0001,0.0001,0.0002,2036,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2037,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2038,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2039,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2040,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2041,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2042,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2043,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2044,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0002,2045,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0003,2046,ENP_Nuclear,AFG,0.0002
0.0001,0.0001,0.0003,2047,ENP_Nuclear,AFG,0.0003
0.0001,0.0001,0.0003,2048,ENP_Nuclear,AFG,0.0003
0.0001,0.0001,0.0003,2049,ENP_Nuclear,AFG,0.0003
0.0001,0.0001,0.0003,2050,ENP_Nuclear,AFG,0.0003
0.0001,0.0001,0.0003,2051,ENP_Nuclear,AFG,0.0003
0.0001,0.0002,0.0003,2052,ENP_Nuclear,AFG,0.0003
0.0001,0.0002,0.0003,2053,ENP_Nuclear,AFG,0.0003
0.0002,0.0002,0.0004,2054,ENP_Nuclear,AFG,0.0003
0.0002,0.0002,0.0004,2055,ENP_Nuclear,AFG,0.0003
0.0002,0.0002,0.0004,2056,ENP_Nuclear,AFG,0.0003
0.0002,0.0002,0.0004,2057,ENP_Nuclear,AFG,0.0003
0.0002,0.0003,0.0004,2058,ENP_Nuclear,AFG,0.0003
0.0002,0.0003,0.0004,2059,ENP_Nuclear,AFG,0.0003
0.0002,0.0003,0.0004,2060,ENP_Nuclear,AFG,0.0003
0.0003,0.0003,0.0004,2061,ENP_Nuclear,AFG,0.0003
0.0003,0.0003,0.0003,2062,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0003,2063,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0003,2064,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0003,2065,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0003,2066,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0003,2067,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0003,2068,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0003,2069,ENP_Nuclear,AFG,0.0003
0.0004,0.0004,0.0003,2070,ENP_Nuclear,AFG,0.0003
0.0004,0.0004,0.0003,2071,ENP_Nuclear,AFG,0.0003
0.0004,0.0004,0.0003,2072,ENP_Nuclear,AFG,0.0003
0.0004,0.0004,0.0003,2073,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2074,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2075,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2076,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2077,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2078,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2079,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2080,ENP_Nuclear,AFG,0.0003
0.0003,0.0004,0.0004,2081,ENP_Nuclear,AFG,0.0003
0.0004,0.0004,0.0004,2082,ENP_Nuclear,AFG,0.0003
0.0004,0.0004,0.0004,2083,ENP_Nuclear,AFG,0.0003
0.0004,0.0004,0.0004,2084,ENP_Nuclear,AFG,0.0003
0.0004,0.0005,0.0004,2085,ENP_Nuclear,AFG,0.0003
0.0004,0.0005,0.0004,2086,ENP_Nuclear,AFG,0.0003
0.0004,0.0005,0.0004,2087,ENP_Nuclear,AFG,0.0003
0.0004,0.0005,0.0004,2088,ENP_Nuclear,AFG,0.0004
0.0004,0.0005,0.0004,2089,ENP_Nuclear,AFG,0.0004
0.0004,0.0005,0.0004,2090,ENP_Nuclear,AFG,0.0004
0.0004,0.0005,0.0004,2091,ENP_Nuclear,AFG,0.0004
