Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.01672,0.01672,0.01672,2019,ENP_Oil,AFG,0.01672
0.01674,0.01674,0.01674,2020,ENP_Oil,AFG,0.01674
0.01886,0.01886,0.01886,2021,ENP_Oil,AFG,0.01886
0.02174,0.02174,0.02174,2022,ENP_Oil,AFG,0.02174
0.02299,0.02299,0.02299,2023,ENP_Oil,AFG,0.02299
0.02178,0.02178,0.02178,2024,ENP_Oil,AFG,0.02178
0.02064,0.02064,0.02062,2025,ENP_Oil,AFG,0.02062
0.01999,0.01999,0.01988,2026,ENP_Oil,AFG,0.01988
0.02,0.01999,0.01967,2027,ENP_Oil,AFG,0.01968
0.02064,0.02063,0.01991,2028,ENP_Oil,AFG,0.01993
0.02165,0.02168,0.02049,2029,ENP_Oil,AFG,0.02045
0.02279,0.02297,0.02134,2030,ENP_Oil,AFG,0.02121
0.02442,0.02481,0.02331,2031,ENP_Oil,AFG,0.0229
0.02507,0.02556,0.02439,2032,ENP_Oil,AFG,0.02387
0.02507,0.02552,0.02456,2033,ENP_Oil,AFG,0.02407
0.02507,0.02547,0.02462,2034,ENP_Oil,AFG,0.02417
0.02526,0.0257,0.02496,2035,ENP_Oil,AFG,0.02441
0.02555,0.02607,0.02542,2036,ENP_Oil,AFG,0.02473
0.02584,0.0264,0.02577,2037,ENP_Oil,AFG,0.02498
0.02609,0.02668,0.02592,2038,ENP_Oil,AFG,0.02509
0.02634,0.02695,0.02597,2039,ENP_Oil,AFG,0.02509
0.0266,0.02724,0.02601,2040,ENP_Oil,AFG,0.02507
0.02686,0.02754,0.02604,2041,ENP_Oil,AFG,0.02496
0.0271,0.02782,0.02598,2042,ENP_Oil,AFG,0.02476
0.02729,0.02803,0.02581,2043,ENP_Oil,AFG,0.02445
0.0274,0.02827,0.02545,2044,ENP_Oil,AFG,0.02402
0.02763,0.02877,0.02486,2045,ENP_Oil,AFG,0.02352
0.02817,0.02955,0.02425,2046,ENP_Oil,AFG,0.02289
0.02892,0.03043,0.02367,2047,ENP_Oil,AFG,0.0222
0.02969,0.03127,0.02317,2048,ENP_Oil,AFG,0.02162
0.03042,0.03213,0.02283,2049,ENP_Oil,AFG,0.02112
0.03117,0.03301,0.0227,2050,ENP_Oil,AFG,0.02045
0.03194,0.03387,0.02228,2051,ENP_Oil,AFG,0.01973
0.03268,0.0347,0.02168,2052,ENP_Oil,AFG,0.01924
0.0334,0.03553,0.02127,2053,ENP_Oil,AFG,0.01885
0.03411,0.03637,0.02097,2054,ENP_Oil,AFG,0.01842
0.03481,0.03721,0.02056,2055,ENP_Oil,AFG,0.01793
0.03553,0.03804,0.02001,2056,ENP_Oil,AFG,0.01739
0.0363,0.03873,0.01936,2057,ENP_Oil,AFG,0.01681
0.03704,0.03928,0.01865,2058,ENP_Oil,AFG,0.01616
0.03768,0.03979,0.01789,2059,ENP_Oil,AFG,0.01545
0.03798,0.04018,0.01705,2060,ENP_Oil,AFG,0.01467
0.038,0.04039,0.01611,2061,ENP_Oil,AFG,0.01382
0.03806,0.04042,0.01518,2062,ENP_Oil,AFG,0.01297
0.03803,0.04028,0.01433,2063,ENP_Oil,AFG,0.01213
0.03781,0.03997,0.01343,2064,ENP_Oil,AFG,0.01137
0.03741,0.03947,0.01264,2065,ENP_Oil,AFG,0.01066
0.03683,0.03877,0.012,2066,ENP_Oil,AFG,0.01008
0.03611,0.03788,0.01148,2067,ENP_Oil,AFG,0.0096
0.03523,0.03682,0.01107,2068,ENP_Oil,AFG,0.00923
0.03419,0.03564,0.01077,2069,ENP_Oil,AFG,0.00894
0.03304,0.03435,0.01058,2070,ENP_Oil,AFG,0.00873
0.03183,0.033,0.01047,2071,ENP_Oil,AFG,0.00857
0.03058,0.03156,0.01045,2072,ENP_Oil,AFG,0.00846
0.0294,0.03004,0.01046,2073,ENP_Oil,AFG,0.00838
0.0283,0.02827,0.01046,2074,ENP_Oil,AFG,0.00838
0.02715,0.02629,0.0105,2075,ENP_Oil,AFG,0.00839
0.02563,0.02435,0.01052,2076,ENP_Oil,AFG,0.00839
0.02397,0.02249,0.0105,2077,ENP_Oil,AFG,0.00841
0.02232,0.0207,0.01045,2078,ENP_Oil,AFG,0.00839
0.02072,0.01905,0.01033,2079,ENP_Oil,AFG,0.00835
0.01919,0.01755,0.01017,2080,ENP_Oil,AFG,0.00826
0.01776,0.01617,0.00996,2081,ENP_Oil,AFG,0.00814
0.01644,0.01492,0.00971,2082,ENP_Oil,AFG,0.00797
0.01524,0.01378,0.00944,2083,ENP_Oil,AFG,0.00778
0.0142,0.01274,0.00916,2084,ENP_Oil,AFG,0.00757
0.01332,0.0118,0.00888,2085,ENP_Oil,AFG,0.00735
