Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
2.04266,2.04266,2.04266,2019,GDPPCP,AFG,2.04266
1.93534,1.93534,1.93534,2020,GDPPCP,AFG,1.93534
1.48595,1.48595,1.48595,2021,GDPPCP,AFG,1.48595
1.3991,1.3991,1.3991,2022,GDPPCP,AFG,1.3991
1.43362,1.43362,1.43362,2023,GDPPCP,AFG,1.43362
1.46872,1.46872,1.46872,2024,GDPPCP,AFG,1.46872
1.50474,1.50474,1.50474,2025,GDPPCP,AFG,1.50474
1.54189,1.54188,1.54188,2026,GDPPCP,AFG,1.54189
1.55554,1.56779,1.56779,2027,GDPPCP,AFG,1.55549
1.58112,1.60037,1.60013,2028,GDPPCP,AFG,1.58092
1.59976,1.62985,1.62985,2029,GDPPCP,AFG,1.6
1.61953,1.65755,1.65806,2030,GDPPCP,AFG,1.62095
1.6366,1.67312,1.6764,2031,GDPPCP,AFG,1.63986
1.63962,1.68498,1.69048,2032,GDPPCP,AFG,1.64525
1.64452,1.6975,1.70482,2033,GDPPCP,AFG,1.65205
1.65288,1.71373,1.72318,2034,GDPPCP,AFG,1.66244
1.66372,1.73327,1.74513,2035,GDPPCP,AFG,1.6755
1.67688,1.7556,1.77028,2036,GDPPCP,AFG,1.69117
1.69203,1.78027,1.79778,2037,GDPPCP,AFG,1.70896
1.70914,1.80757,1.82857,2038,GDPPCP,AFG,1.72864
1.72817,1.83742,1.86169,2039,GDPPCP,AFG,1.7504
1.74831,1.86998,1.89798,2040,GDPPCP,AFG,1.7738
1.76808,1.90479,1.93703,2041,GDPPCP,AFG,1.79775
1.78989,1.94293,1.97911,2042,GDPPCP,AFG,1.8242
1.81528,1.9825,2.02447,2043,GDPPCP,AFG,1.85534
1.84231,2.02458,2.07281,2044,GDPPCP,AFG,1.88861
1.87195,2.07094,2.12401,2045,GDPPCP,AFG,1.92419
1.90489,2.12242,2.17946,2046,GDPPCP,AFG,1.96154
1.94153,2.1782,2.23927,2047,GDPPCP,AFG,2.00154
1.9811,2.23767,2.3042,2048,GDPPCP,AFG,2.04513
2.02198,2.30018,2.37329,2049,GDPPCP,AFG,2.09102
2.06693,2.36796,2.44854,2050,GDPPCP,AFG,2.13941
2.11531,2.4397,2.52363,2051,GDPPCP,AFG,2.1891
2.16633,2.51505,2.60189,2052,GDPPCP,AFG,2.2434
2.21958,2.594,2.68625,2053,GDPPCP,AFG,2.30021
2.27486,2.67752,2.77505,2054,GDPPCP,AFG,2.35843
2.33178,2.7651,2.86692,2055,GDPPCP,AFG,2.41831
2.39078,2.858,2.9625,2056,GDPPCP,AFG,2.4799
2.45216,2.95507,3.06279,2057,GDPPCP,AFG,2.5435
2.51581,3.05683,3.16773,2058,GDPPCP,AFG,2.60896
2.58328,3.16387,3.27792,2059,GDPPCP,AFG,2.67743
2.65254,3.27603,3.39314,2060,GDPPCP,AFG,2.74775
2.7234,3.39357,3.51319,2061,GDPPCP,AFG,2.82028
2.79808,3.51757,3.6401,2062,GDPPCP,AFG,2.8957
2.87507,3.64829,3.7743,2063,GDPPCP,AFG,2.97407
2.95517,3.78592,3.91439,2064,GDPPCP,AFG,3.05625
3.03831,3.92926,4.06034,2065,GDPPCP,AFG,3.14049
3.12449,4.07881,4.2132,2066,GDPPCP,AFG,3.22946
3.21339,4.23368,4.3729,2067,GDPPCP,AFG,3.32266
3.30441,4.39409,4.54038,2068,GDPPCP,AFG,3.41928
3.39768,4.56083,4.71596,2069,GDPPCP,AFG,3.5194
3.49375,4.73485,4.90053,2070,GDPPCP,AFG,3.6233
3.59261,4.91669,5.09433,2071,GDPPCP,AFG,3.73082
3.69491,5.10739,5.29814,2072,GDPPCP,AFG,3.84253
3.80146,5.30809,5.51289,2073,GDPPCP,AFG,3.95915
3.9125,5.52052,5.73951,2074,GDPPCP,AFG,4.08184
4.02815,5.74086,5.97669,2075,GDPPCP,AFG,4.2095
4.14846,5.97551,6.22758,2076,GDPPCP,AFG,4.34236
4.27383,6.22407,6.49434,2077,GDPPCP,AFG,4.48219
4.40503,6.48686,6.77641,2078,GDPPCP,AFG,4.62776
4.5426,6.76576,7.07527,2079,GDPPCP,AFG,4.78086
4.68764,7.06061,7.38771,2080,GDPPCP,AFG,4.93996
4.84025,7.36864,7.71453,2081,GDPPCP,AFG,5.10727
5.0007,7.69059,8.05274,2082,GDPPCP,AFG,5.28046
5.16839,8.02572,8.43469,2083,GDPPCP,AFG,5.46063
5.34212,8.40539,8.8263,2084,GDPPCP,AFG,5.64701
5.52314,8.79772,9.23059,2085,GDPPCP,AFG,5.84044
5.71058,9.20339,9.6482,2086,GDPPCP,AFG,6.03964
5.90452,9.62371,10.08,2087,GDPPCP,AFG,6.24551
6.10578,10.06,10.53,2088,GDPPCP,AFG,6.45833
6.31443,10.52,11.01,2089,GDPPCP,AFG,6.6799
6.53091,10.99,11.5,2090,GDPPCP,AFG,6.90993
6.7574,11.49,12.03,2091,GDPPCP,AFG,7.14862
6.99349,12.02,12.58,2092,GDPPCP,AFG,7.39643
7.23918,12.58,13.16,2093,GDPPCP,AFG,7.65272
7.49407,13.17,13.77,2094,GDPPCP,AFG,7.91783
7.75767,13.8,14.43,2095,GDPPCP,AFG,8.19149
8.02875,14.46,15.12,2096,GDPPCP,AFG,8.47508
8.30934,15.16,15.85,2097,GDPPCP,AFG,8.7684
8.59936,15.9,16.61,2098,GDPPCP,AFG,9.07006
8.88463,16.62,17.36,2099,GDPPCP,AFG,9.36612
9.17458,17.37,18.14,2100,GDPPCP,AFG,9.66472
6.48398,6.48398,6.48398,2019,GDPPCP,AGO,6.48398
5.90685,5.90685,5.90685,2020,GDPPCP,AGO,5.90685
5.84283,5.84283,5.84283,2021,GDPPCP,AGO,5.84283
5.92991,5.92991,5.92991,2022,GDPPCP,AGO,5.92991
5.77911,5.77911,5.77911,2023,GDPPCP,AGO,5.77911
5.80723,5.80723,5.80722,2024,GDPPCP,AGO,5.80722
5.77559,5.77193,5.77161,2025,GDPPCP,AGO,5.77526
5.7805,5.77643,5.77502,2026,GDPPCP,AGO,5.77909
5.83625,5.84291,5.84632,2027,GDPPCP,AGO,5.83977
5.89603,5.91077,5.91651,2028,GDPPCP,AGO,5.90196
5.96956,5.99395,6.01582,2029,GDPPCP,AGO,5.99077
6.05086,6.08755,6.14651,2030,GDPPCP,AGO,6.10939
6.13853,6.18884,6.28575,2031,GDPPCP,AGO,6.23463
6.22937,6.29535,6.42866,2032,GDPPCP,AGO,6.36019
6.30912,6.39326,6.56387,2033,GDPPCP,AGO,6.47416
6.38147,6.48782,6.69117,2034,GDPPCP,AGO,6.57682
6.45406,6.58484,6.81413,2035,GDPPCP,AGO,6.673
6.53261,6.69054,6.93455,2036,GDPPCP,AGO,6.76386
6.61867,6.80777,7.07056,2037,GDPPCP,AGO,6.86724
6.7173,6.93958,7.23177,2038,GDPPCP,AGO,6.98995
6.84062,7.099,7.42202,2039,GDPPCP,AGO,7.14368
6.97674,7.27983,7.64242,2040,GDPPCP,AGO,7.3117
7.13831,7.48691,7.88707,2041,GDPPCP,AGO,7.50719
7.30922,7.70355,8.15034,2042,GDPPCP,AGO,7.71397
7.48278,7.93215,8.41336,2043,GDPPCP,AGO,7.91743
7.66075,8.16797,8.68494,2044,GDPPCP,AGO,8.12628
7.83015,8.40169,8.96781,2045,GDPPCP,AGO,8.33889
8.00408,8.63349,9.26277,2046,GDPPCP,AGO,8.55976
8.18454,8.87589,9.57086,2047,GDPPCP,AGO,8.78878
8.37077,9.13033,9.88997,2048,GDPPCP,AGO,9.02495
8.56109,9.39526,10.22,2049,GDPPCP,AGO,9.2663
8.76294,9.67399,10.56,2050,GDPPCP,AGO,9.51228
8.97602,9.96949,10.91,2051,GDPPCP,AGO,9.76393
9.19975,10.28,11.26,2052,GDPPCP,AGO,10.02
9.43538,10.62,11.63,2053,GDPPCP,AGO,10.28
9.68287,10.97,12.01,2054,GDPPCP,AGO,10.55
9.94212,11.34,12.41,2055,GDPPCP,AGO,10.82
10.21,11.73,12.82,2056,GDPPCP,AGO,11.11
10.5,12.13,13.26,2057,GDPPCP,AGO,11.41
10.79,12.56,13.72,2058,GDPPCP,AGO,11.72
11.09,12.99,14.21,2059,GDPPCP,AGO,12.06
11.4,13.44,14.74,2060,GDPPCP,AGO,12.41
11.72,13.91,15.3,2061,GDPPCP,AGO,12.77
12.05,14.39,15.87,2062,GDPPCP,AGO,13.16
12.4,14.9,16.47,2063,GDPPCP,AGO,13.57
12.76,15.44,17.1,2064,GDPPCP,AGO,13.99
13.14,15.99,17.76,2065,GDPPCP,AGO,14.41
13.53,16.58,18.45,2066,GDPPCP,AGO,14.84
13.94,17.21,19.18,2067,GDPPCP,AGO,15.3
14.36,17.88,19.95,2068,GDPPCP,AGO,15.76
14.78,18.6,20.77,2069,GDPPCP,AGO,16.23
15.23,19.35,21.63,2070,GDPPCP,AGO,16.72
15.68,20.11,22.6,2071,GDPPCP,AGO,17.2
16.12,20.91,23.57,2072,GDPPCP,AGO,17.69
16.55,21.76,24.54,2073,GDPPCP,AGO,18.17
16.96,22.62,25.48,2074,GDPPCP,AGO,18.63
17.36,23.47,26.41,2075,GDPPCP,AGO,19.08
17.75,24.32,27.32,2076,GDPPCP,AGO,19.51
18.14,25.17,28.22,2077,GDPPCP,AGO,19.93
18.52,26.03,29.11,2078,GDPPCP,AGO,20.35
18.9,26.91,30.02,2079,GDPPCP,AGO,20.76
19.3,27.82,30.93,2080,GDPPCP,AGO,21.17
19.71,28.77,31.87,2081,GDPPCP,AGO,21.6
20.13,29.75,32.83,2082,GDPPCP,AGO,22.03
20.57,30.76,33.8,2083,GDPPCP,AGO,22.5
21.03,31.77,34.75,2084,GDPPCP,AGO,22.98
21.52,32.79,35.62,2085,GDPPCP,AGO,23.49
22.03,33.74,36.52,2086,GDPPCP,AGO,24.0
22.56,34.66,37.42,2087,GDPPCP,AGO,24.53
23.11,35.59,38.34,2088,GDPPCP,AGO,25.07
23.66,36.54,39.28,2089,GDPPCP,AGO,25.62
24.24,37.52,40.28,2090,GDPPCP,AGO,26.19
24.89,38.54,41.32,2091,GDPPCP,AGO,26.76
25.54,39.61,42.47,2092,GDPPCP,AGO,27.36
26.2,40.74,43.68,2093,GDPPCP,AGO,28.0
26.87,41.99,44.91,2094,GDPPCP,AGO,28.66
27.54,43.26,46.16,2095,GDPPCP,AGO,29.32
28.21,44.55,47.42,2096,GDPPCP,AGO,29.96
28.87,45.83,48.67,2097,GDPPCP,AGO,30.59
29.51,47.11,49.93,2098,GDPPCP,AGO,31.2
30.13,48.39,51.19,2099,GDPPCP,AGO,31.77
30.72,49.69,52.46,2100,GDPPCP,AGO,32.33
13.41,13.41,13.41,2019,GDPPCP,ALB,13.41
12.79,12.79,12.79,2020,GDPPCP,ALB,12.79
13.8,13.8,13.8,2021,GDPPCP,ALB,13.8
14.37,14.37,14.37,2022,GDPPCP,ALB,14.37
14.55,14.55,14.55,2023,GDPPCP,ALB,14.55
14.82,14.82,14.82,2024,GDPPCP,ALB,14.82
15.17,15.15,15.14,2025,GDPPCP,ALB,15.16
15.52,15.5,15.5,2026,GDPPCP,ALB,15.52
15.79,15.84,15.85,2027,GDPPCP,ALB,15.8
16.1,16.19,16.22,2028,GDPPCP,ALB,16.13
16.42,16.56,16.62,2029,GDPPCP,ALB,16.47
16.74,16.95,17.03,2030,GDPPCP,ALB,16.82
17.07,17.35,17.46,2031,GDPPCP,ALB,17.19
17.41,17.77,17.93,2032,GDPPCP,ALB,17.56
17.75,18.21,18.41,2033,GDPPCP,ALB,17.94
18.11,18.68,18.91,2034,GDPPCP,ALB,18.34
18.49,19.18,19.44,2035,GDPPCP,ALB,18.75
18.89,19.7,20.0,2036,GDPPCP,ALB,19.17
19.31,20.26,20.58,2037,GDPPCP,ALB,19.62
