Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.02,0.02,0.02,2019,GDP_MER,AFG,0.01972
0.019,0.019,0.019,2020,GDP_MER,AFG,0.01926
0.015,0.015,0.015,2021,GDP_MER,AFG,0.01526
0.014,0.014,0.014,2022,GDP_MER,AFG,0.01431
0.015,0.015,0.015,2023,GDP_MER,AFG,0.01495
0.016,0.016,0.016,2024,GDP_MER,AFG,0.01563
0.016,0.016,0.016,2025,GDP_MER,AFG,0.01633
0.017,0.017,0.017,2026,GDP_MER,AFG,0.01706
0.018,0.018,0.018,2027,GDP_MER,AFG,0.01755
0.018,0.018,0.018,2028,GDP_MER,AFG,0.01818
0.019,0.019,0.019,2029,GDP_MER,AFG,0.01876
0.019,0.02,0.02,2030,GDP_MER,AFG,0.01936
0.02,0.021,0.021,2031,GDP_MER,AFG,0.02006
0.021,0.021,0.022,2032,GDP_MER,AFG,0.02071
0.021,0.022,0.022,2033,GDP_MER,AFG,0.02139
0.022,0.023,0.023,2034,GDP_MER,AFG,0.02216
0.023,0.024,0.024,2035,GDP_MER,AFG,0.023
0.024,0.025,0.026,2036,GDP_MER,AFG,0.02391
0.025,0.026,0.027,2037,GDP_MER,AFG,0.02489
0.026,0.028,0.028,2038,GDP_MER,AFG,0.02594
0.027,0.029,0.029,2039,GDP_MER,AFG,0.02706
0.028,0.03,0.031,2040,GDP_MER,AFG,0.02825
0.029,0.032,0.033,2041,GDP_MER,AFG,0.02949
0.03,0.034,0.034,2042,GDP_MER,AFG,0.03083
0.031,0.035,0.036,2043,GDP_MER,AFG,0.03232
0.033,0.037,0.039,2044,GDP_MER,AFG,0.03392
0.034,0.039,0.041,2045,GDP_MER,AFG,0.03562
0.036,0.042,0.043,2046,GDP_MER,AFG,0.03744
0.038,0.044,0.046,2047,GDP_MER,AFG,0.03938
0.04,0.047,0.049,2048,GDP_MER,AFG,0.0415
0.042,0.049,0.052,2049,GDP_MER,AFG,0.04375
0.044,0.053,0.055,2050,GDP_MER,AFG,0.04616
0.046,0.056,0.059,2051,GDP_MER,AFG,0.04869
0.049,0.06,0.063,2052,GDP_MER,AFG,0.05146
0.052,0.063,0.067,2053,GDP_MER,AFG,0.0544
0.055,0.067,0.071,2054,GDP_MER,AFG,0.0575
0.058,0.072,0.076,2055,GDP_MER,AFG,0.06075
0.061,0.077,0.081,2056,GDP_MER,AFG,0.06416
0.064,0.082,0.086,2057,GDP_MER,AFG,0.06776
0.068,0.087,0.092,2058,GDP_MER,AFG,0.07155
0.072,0.093,0.098,2059,GDP_MER,AFG,0.07557
0.076,0.099,0.104,2060,GDP_MER,AFG,0.07979
0.08,0.106,0.111,2061,GDP_MER,AFG,0.08422
0.085,0.113,0.119,2062,GDP_MER,AFG,0.08892
0.089,0.121,0.127,2063,GDP_MER,AFG,0.09388
0.095,0.129,0.135,2064,GDP_MER,AFG,0.09915
0.1,0.138,0.144,2065,GDP_MER,AFG,0.10467
0.106,0.147,0.154,2066,GDP_MER,AFG,0.11058
0.111,0.157,0.165,2067,GDP_MER,AFG,0.11686
0.118,0.168,0.176,2068,GDP_MER,AFG,0.12349
0.124,0.179,0.188,2069,GDP_MER,AFG,0.13048
0.131,0.191,0.2,2070,GDP_MER,AFG,0.13786
0.138,0.203,0.214,2071,GDP_MER,AFG,0.14563
0.146,0.217,0.228,2072,GDP_MER,AFG,0.15384
0.154,0.231,0.244,2073,GDP_MER,AFG,0.16254
0.162,0.247,0.261,2074,GDP_MER,AFG,0.17182
0.171,0.263,0.278,2075,GDP_MER,AFG,0.18164
0.18,0.281,0.298,2076,GDP_MER,AFG,0.19203
0.19,0.3,0.318,2077,GDP_MER,AFG,0.20312
0.2,0.321,0.341,2078,GDP_MER,AFG,0.21485
0.212,0.343,0.365,2079,GDP_MER,AFG,0.22737
0.224,0.367,0.391,2080,GDP_MER,AFG,0.2406
0.236,0.393,0.419,2081,GDP_MER,AFG,0.25472
0.25,0.42,0.448,2082,GDP_MER,AFG,0.26958
0.264,0.45,0.482,2083,GDP_MER,AFG,0.2853
0.279,0.483,0.518,2084,GDP_MER,AFG,0.30182
0.295,0.519,0.555,2085,GDP_MER,AFG,0.31925
0.312,0.557,0.595,2086,GDP_MER,AFG,0.33748
0.33,0.597,0.637,2087,GDP_MER,AFG,0.35662
0.348,0.64,0.682,2088,GDP_MER,AFG,0.37671
0.368,0.685,0.729,2089,GDP_MER,AFG,0.39793
0.389,0.733,0.779,2090,GDP_MER,AFG,0.42027
0.411,0.783,0.833,2091,GDP_MER,AFG,0.44377
0.434,0.837,0.889,2092,GDP_MER,AFG,0.46851
0.458,0.894,0.948,2093,GDP_MER,AFG,0.49446
0.484,0.954,1.012,2094,GDP_MER,AFG,0.52171
0.511,1.019,1.08,2095,GDP_MER,AFG,0.55032
0.539,1.087,1.152,2096,GDP_MER,AFG,0.58044
0.569,1.16,1.228,2097,GDP_MER,AFG,0.6121
0.6,1.236,1.307,2098,GDP_MER,AFG,0.64519
0.631,1.313,1.387,2099,GDP_MER,AFG,0.67824
0.663,1.393,1.47,2100,GDP_MER,AFG,0.71209
0.072,0.072,0.072,2019,GDP_MER,AGO,0.07221
0.068,0.068,0.068,2020,GDP_MER,AGO,0.06814
0.069,0.069,0.069,2021,GDP_MER,AGO,0.06896
0.071,0.071,0.071,2022,GDP_MER,AGO,0.07106
0.071,0.071,0.071,2023,GDP_MER,AGO,0.07139
0.073,0.073,0.073,2024,GDP_MER,AGO,0.07322
0.076,0.076,0.076,2025,GDP_MER,AGO,0.07551
0.078,0.078,0.078,2026,GDP_MER,AGO,0.07807
0.082,0.082,0.082,2027,GDP_MER,AGO,0.08168
0.086,0.086,0.086,2028,GDP_MER,AGO,0.08575
0.09,0.091,0.091,2029,GDP_MER,AGO,0.09058
0.095,0.096,0.097,2030,GDP_MER,AGO,0.09631
0.1,0.101,0.104,2031,GDP_MER,AGO,0.10248
0.106,0.107,0.111,2032,GDP_MER,AGO,0.10895
0.111,0.113,0.118,2033,GDP_MER,AGO,0.11541
0.117,0.119,0.125,2034,GDP_MER,AGO,0.12186
0.122,0.126,0.132,2035,GDP_MER,AGO,0.12838
0.128,0.133,0.14,2036,GDP_MER,AGO,0.13501
0.135,0.14,0.148,2037,GDP_MER,AGO,0.14227
0.142,0.149,0.158,2038,GDP_MER,AGO,0.15043
0.15,0.158,0.169,2039,GDP_MER,AGO,0.15994
0.159,0.169,0.181,2040,GDP_MER,AGO,0.17037
0.169,0.181,0.195,2041,GDP_MER,AGO,0.18224
0.18,0.194,0.21,2042,GDP_MER,AGO,0.19508
0.192,0.208,0.227,2043,GDP_MER,AGO,0.20839
0.204,0.223,0.244,2044,GDP_MER,AGO,0.22251
0.216,0.238,0.262,2045,GDP_MER,AGO,0.23741
0.23,0.254,0.282,2046,GDP_MER,AGO,0.25332
0.244,0.272,0.303,2047,GDP_MER,AGO,0.27027
0.258,0.29,0.326,2048,GDP_MER,AGO,0.28828
0.274,0.31,0.35,2049,GDP_MER,AGO,0.3073
0.29,0.331,0.376,2050,GDP_MER,AGO,0.32733
0.308,0.354,0.404,2051,GDP_MER,AGO,0.34847
0.327,0.379,0.433,2052,GDP_MER,AGO,0.37054
0.348,0.406,0.463,2053,GDP_MER,AGO,0.39386
0.37,0.435,0.496,2054,GDP_MER,AGO,0.41851
0.393,0.467,0.531,2055,GDP_MER,AGO,0.44454
0.418,0.501,0.569,2056,GDP_MER,AGO,0.47215
0.445,0.537,0.61,2057,GDP_MER,AGO,0.50193
0.473,0.576,0.653,2058,GDP_MER,AGO,0.53344
0.503,0.617,0.701,2059,GDP_MER,AGO,0.56759
0.535,0.661,0.754,2060,GDP_MER,AGO,0.60395
0.569,0.707,0.81,2061,GDP_MER,AGO,0.64306
0.604,0.757,0.87,2062,GDP_MER,AGO,0.68523
0.642,0.811,0.933,2063,GDP_MER,AGO,0.73047
0.682,0.868,1.001,2064,GDP_MER,AGO,0.77805
0.726,0.929,1.072,2065,GDP_MER,AGO,0.82784
0.772,0.995,1.148,2066,GDP_MER,AGO,0.88049
0.82,1.065,1.229,2067,GDP_MER,AGO,0.93643
0.872,1.14,1.315,2068,GDP_MER,AGO,0.99522
0.926,1.22,1.406,2069,GDP_MER,AGO,1.05689
0.983,1.305,1.503,2070,GDP_MER,AGO,1.12135
1.042,1.392,1.609,2071,GDP_MER,AGO,1.18804
1.103,1.486,1.719,2072,GDP_MER,AGO,1.25719
1.164,1.584,1.831,2073,GDP_MER,AGO,1.32752
1.225,1.686,1.944,2074,GDP_MER,AGO,1.39761
1.286,1.789,2.058,2075,GDP_MER,AGO,1.46801
1.348,1.895,2.174,2076,GDP_MER,AGO,1.5377
1.41,2.003,2.291,2077,GDP_MER,AGO,1.60842
1.473,2.115,2.41,2078,GDP_MER,AGO,1.67915
1.538,2.231,2.532,2079,GDP_MER,AGO,1.75182
1.605,2.351,2.657,2080,GDP_MER,AGO,1.82519
1.676,2.477,2.786,2081,GDP_MER,AGO,1.90234
1.749,2.607,2.919,2082,GDP_MER,AGO,1.9809
1.827,2.743,3.054,2083,GDP_MER,AGO,2.0638
