Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
10.16,10.16,10.16,2019,MalnPop_Number,AFG,10.16
10.52,10.52,10.52,2020,MalnPop_Number,AFG,10.52
11.55,11.55,11.55,2021,MalnPop_Number,AFG,11.55
11.97,11.97,11.97,2022,MalnPop_Number,AFG,11.97
12.13,12.13,12.13,2023,MalnPop_Number,AFG,12.13
12.18,12.18,12.17,2024,MalnPop_Number,AFG,12.17
12.2,11.09,11.09,2025,MalnPop_Number,AFG,12.2
12.24,11.13,11.13,2026,MalnPop_Number,AFG,12.24
12.31,10.93,10.93,2027,MalnPop_Number,AFG,12.31
12.31,10.72,10.72,2028,MalnPop_Number,AFG,12.32
12.34,10.52,10.53,2029,MalnPop_Number,AFG,12.35
12.37,10.31,10.33,2030,MalnPop_Number,AFG,12.38
12.4,10.14,10.15,2031,MalnPop_Number,AFG,12.41
12.5,9.96324,9.98289,2032,MalnPop_Number,AFG,12.51
12.6,9.78575,9.80568,2033,MalnPop_Number,AFG,12.61
12.69,9.58955,9.61048,2034,MalnPop_Number,AFG,12.7
12.79,9.39083,9.41243,2035,MalnPop_Number,AFG,12.8
12.89,9.17703,9.19864,2036,MalnPop_Number,AFG,12.89
12.98,8.93619,8.87853,2037,MalnPop_Number,AFG,12.98
13.06,8.6452,8.5836,2038,MalnPop_Number,AFG,13.05
13.12,8.33629,8.26908,2039,MalnPop_Number,AFG,13.07
13.12,8.00499,7.93134,2040,MalnPop_Number,AFG,13.03
13.08,7.8624,7.77888,2041,MalnPop_Number,AFG,12.98
13.01,7.71179,7.62523,2042,MalnPop_Number,AFG,12.9
12.92,7.55089,7.45052,2043,MalnPop_Number,AFG,12.79
12.82,7.38187,7.2674,2044,MalnPop_Number,AFG,12.67
12.7,7.19888,7.0777,2045,MalnPop_Number,AFG,12.54
12.57,7.00067,6.87855,2046,MalnPop_Number,AFG,12.4
12.42,6.78965,6.66753,2047,MalnPop_Number,AFG,12.25
12.26,6.5728,6.44553,2048,MalnPop_Number,AFG,12.08
12.22,6.48062,6.34531,2049,MalnPop_Number,AFG,12.03
12.17,6.38176,6.23706,2050,MalnPop_Number,AFG,11.98
12.12,6.28444,6.14491,2051,MalnPop_Number,AFG,11.93
12.06,6.19118,6.05743,2052,MalnPop_Number,AFG,11.86
12.0,6.1015,5.96495,2053,MalnPop_Number,AFG,11.8
11.94,6.00764,5.86695,2054,MalnPop_Number,AFG,11.74
11.88,5.90917,5.76479,2055,MalnPop_Number,AFG,11.68
11.82,5.80067,5.65825,2056,MalnPop_Number,AFG,11.61
11.75,5.69381,5.5525,2057,MalnPop_Number,AFG,11.53
11.66,5.57234,5.43228,2058,MalnPop_Number,AFG,11.44
11.54,5.44293,5.30576,2059,MalnPop_Number,AFG,11.33
11.41,5.30572,5.17112,2060,MalnPop_Number,AFG,11.2
11.27,5.16115,5.03141,2061,MalnPop_Number,AFG,11.06
11.11,5.00845,4.88457,2062,MalnPop_Number,AFG,10.9
10.94,4.84895,4.72996,2063,MalnPop_Number,AFG,10.73
10.75,4.68627,4.57445,2064,MalnPop_Number,AFG,10.55
10.56,4.5269,4.42094,2065,MalnPop_Number,AFG,10.36
10.36,4.37008,4.27054,2066,MalnPop_Number,AFG,10.17
10.16,4.2216,4.12404,2067,MalnPop_Number,AFG,9.96737
9.96975,4.07686,3.97758,2068,MalnPop_Number,AFG,9.77115
9.77924,3.93539,3.8319,2069,MalnPop_Number,AFG,9.57127
9.58688,3.79514,3.68352,2070,MalnPop_Number,AFG,9.36482
9.40712,3.64786,3.52714,2071,MalnPop_Number,AFG,9.16337
9.2197,3.50502,3.37478,2072,MalnPop_Number,AFG,8.95474
9.0236,3.34734,3.21028,2073,MalnPop_Number,AFG,8.73715
8.81798,3.18215,3.03064,2074,MalnPop_Number,AFG,8.5082
8.60239,3.01118,2.85369,2075,MalnPop_Number,AFG,8.2742
8.3792,2.83704,2.67634,2076,MalnPop_Number,AFG,8.03182
8.15172,2.66135,2.4995,2077,MalnPop_Number,AFG,7.77474
7.90557,2.48562,2.325,2078,MalnPop_Number,AFG,7.51629
7.65674,2.31222,2.15585,2079,MalnPop_Number,AFG,7.24886
7.39079,2.14413,1.9963,2080,MalnPop_Number,AFG,6.98049
7.12047,1.98675,1.84835,2081,MalnPop_Number,AFG,6.70597
6.84709,1.84005,1.24338,2082,MalnPop_Number,AFG,6.4396
6.57677,1.23335,1.14337,2083,MalnPop_Number,AFG,6.18411
6.31726,1.13242,1.05351,2084,MalnPop_Number,AFG,5.93424
6.06492,1.04016,0.97108,2085,MalnPop_Number,AFG,5.69426
5.82012,0.95542,0.89528,2086,MalnPop_Number,AFG,5.46723
5.58284,0.87764,0.82532,2087,MalnPop_Number,AFG,5.24937
5.35241,0.80608,0.76049,2088,MalnPop_Number,AFG,5.04068
5.12731,0.73984,0.69914,2089,MalnPop_Number,AFG,4.83007
4.90726,0.67864,0.64167,2090,MalnPop_Number,AFG,4.62121
4.68681,0.62151,0.58773,2091,MalnPop_Number,AFG,4.41426
4.46903,0.56762,0.53751,2092,MalnPop_Number,AFG,4.2096
4.25399,0.51692,0.48937,2093,MalnPop_Number,AFG,4.00749
4.04589,0.46867,0.44308,2094,MalnPop_Number,AFG,3.81032
3.84638,0.42286,0.39653,2095,MalnPop_Number,AFG,3.2233
3.25633,0.37743,0.35226,2096,MalnPop_Number,AFG,3.04993
3.08381,0.33452,0.31199,2097,MalnPop_Number,AFG,2.88676
2.92304,0.29594,0.27619,2098,MalnPop_Number,AFG,2.73226
2.77635,0.26294,0.24526,2099,MalnPop_Number,AFG,2.59172
2.63996,0.23338,0.21771,2100,MalnPop_Number,AFG,2.46299
5.66188,5.66188,5.66188,2019,MalnPop_Number,AGO,5.66188
5.99111,5.99111,5.99111,2020,MalnPop_Number,AGO,5.99111
6.06479,6.06479,6.06479,2021,MalnPop_Number,AGO,6.06479
6.02061,6.02061,6.0206,2022,MalnPop_Number,AGO,6.0206
6.12387,6.12387,6.12386,2023,MalnPop_Number,AGO,6.12386
6.1636,6.1636,6.16359,2024,MalnPop_Number,AGO,6.16359
6.19879,6.00133,6.00123,2025,MalnPop_Number,AGO,6.19869
6.22348,5.90922,5.9126,2026,MalnPop_Number,AGO,6.2268
6.21938,5.75423,5.76407,2027,MalnPop_Number,AGO,6.22909
6.19951,5.575,5.60034,2028,MalnPop_Number,AGO,6.22517
6.17331,5.39229,5.42573,2029,MalnPop_Number,AGO,6.20819
6.13909,5.19532,5.22493,2030,MalnPop_Number,AGO,6.16952
6.09791,4.98762,5.00534,2031,MalnPop_Number,AGO,6.11433
6.04732,4.76946,4.77243,2032,MalnPop_Number,AGO,6.04687
5.99996,4.55116,4.53469,2033,MalnPop_Number,AGO,5.97789
5.95493,4.33143,4.29694,2034,MalnPop_Number,AGO,5.91096
5.90498,4.10774,4.05857,2035,MalnPop_Number,AGO,5.84079
5.84793,3.87764,3.82258,2036,MalnPop_Number,AGO,5.77305
5.78196,3.64246,3.58211,2037,MalnPop_Number,AGO,5.69637
5.70628,3.42115,3.35135,2038,MalnPop_Number,AGO,5.60816
5.61272,3.18938,3.11139,2039,MalnPop_Number,AGO,5.49955
5.51165,2.9532,2.86414,2040,MalnPop_Number,AGO,5.3815
5.39125,2.82701,2.72504,2041,MalnPop_Number,AGO,5.24284
5.25772,2.70216,2.59137,2042,MalnPop_Number,AGO,5.0889
5.11596,2.56741,2.43939,2043,MalnPop_Number,AGO,4.92957
4.96406,2.44239,2.28698,2044,MalnPop_Number,AGO,4.77934
4.81063,2.29992,2.13243,2045,MalnPop_Number,AGO,4.60144
4.67196,2.15668,1.97492,2046,MalnPop_Number,AGO,4.41879
4.50251,2.00724,1.81429,2047,MalnPop_Number,AGO,4.23038
4.32607,1.85059,1.65271,2048,MalnPop_Number,AGO,4.0369
4.22514,1.77068,1.56935,2049,MalnPop_Number,AGO,3.91992
4.12049,1.68974,1.48772,2050,MalnPop_Number,AGO,3.80451
4.00937,1.60729,1.40757,2051,MalnPop_Number,AGO,3.6881
3.89448,1.52412,1.32957,2052,MalnPop_Number,AGO,3.5706
3.77488,1.43958,1.25294,2053,MalnPop_Number,AGO,3.45253
