Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
35.5,35.5,35.5,2019,NeonatalMortality,AFG,35.5
34.57,34.57,34.57,2020,NeonatalMortality,AFG,34.57
35.53,35.53,35.53,2021,NeonatalMortality,AFG,35.53
35.27,35.27,35.27,2022,NeonatalMortality,AFG,35.27
34.56,34.56,34.56,2023,NeonatalMortality,AFG,34.56
33.78,33.78,33.78,2024,NeonatalMortality,AFG,33.78
32.85,32.56,32.56,2025,NeonatalMortality,AFG,32.85
31.93,31.61,31.61,2026,NeonatalMortality,AFG,31.93
31.15,30.55,30.55,2027,NeonatalMortality,AFG,31.15
30.29,29.54,29.55,2028,NeonatalMortality,AFG,30.29
29.43,28.56,28.56,2029,NeonatalMortality,AFG,29.43
28.59,27.63,27.64,2030,NeonatalMortality,AFG,28.59
27.82,26.8,26.81,2031,NeonatalMortality,AFG,27.82
27.16,26.04,26.03,2032,NeonatalMortality,AFG,27.15
26.55,25.33,25.31,2033,NeonatalMortality,AFG,26.52
26.02,24.7,24.67,2034,NeonatalMortality,AFG,25.98
25.55,24.12,24.08,2035,NeonatalMortality,AFG,25.49
25.12,23.56,23.51,2036,NeonatalMortality,AFG,25.04
24.71,23.02,22.96,2037,NeonatalMortality,AFG,24.62
24.31,22.51,22.44,2038,NeonatalMortality,AFG,24.22
23.91,21.99,21.92,2039,NeonatalMortality,AFG,23.83
23.52,21.48,21.4,2040,NeonatalMortality,AFG,23.43
23.11,20.97,20.89,2041,NeonatalMortality,AFG,23.0
22.65,20.46,20.38,2042,NeonatalMortality,AFG,22.53
22.19,19.94,19.86,2043,NeonatalMortality,AFG,22.06
21.74,19.43,19.33,2044,NeonatalMortality,AFG,21.59
21.28,18.94,18.82,2045,NeonatalMortality,AFG,21.09
20.8,18.44,18.32,2046,NeonatalMortality,AFG,20.59
20.32,17.96,17.83,2047,NeonatalMortality,AFG,20.11
19.85,17.49,17.36,2048,NeonatalMortality,AFG,19.64
19.38,17.03,16.9,2049,NeonatalMortality,AFG,19.17
18.91,16.58,16.44,2050,NeonatalMortality,AFG,18.7
18.45,16.14,16.01,2051,NeonatalMortality,AFG,18.24
17.99,15.72,15.59,2052,NeonatalMortality,AFG,17.78
17.54,15.31,15.19,2053,NeonatalMortality,AFG,17.34
17.11,14.91,14.8,2054,NeonatalMortality,AFG,16.91
16.69,14.54,14.42,2055,NeonatalMortality,AFG,16.49
16.28,14.16,14.05,2056,NeonatalMortality,AFG,16.09
15.88,13.79,13.68,2057,NeonatalMortality,AFG,15.71
15.5,13.43,13.31,2058,NeonatalMortality,AFG,15.34
15.12,13.06,12.95,2059,NeonatalMortality,AFG,14.97
14.75,12.71,12.6,2060,NeonatalMortality,AFG,14.62
14.39,12.35,12.25,2061,NeonatalMortality,AFG,14.27
14.04,12.0,11.89,2062,NeonatalMortality,AFG,13.92
13.69,11.65,11.54,2063,NeonatalMortality,AFG,13.58
13.35,11.3,11.2,2064,NeonatalMortality,AFG,13.24
13.01,10.95,10.85,2065,NeonatalMortality,AFG,12.9
12.67,10.6,10.5,2066,NeonatalMortality,AFG,12.55
12.33,10.26,10.16,2067,NeonatalMortality,AFG,12.21
11.99,9.92214,9.82303,2068,NeonatalMortality,AFG,11.87
11.65,9.58623,9.48556,2069,NeonatalMortality,AFG,11.53
11.32,9.25414,9.15117,2070,NeonatalMortality,AFG,11.19
11.0,8.92346,8.81757,2071,NeonatalMortality,AFG,10.86
10.67,8.59415,8.48516,2072,NeonatalMortality,AFG,10.53
10.35,8.26543,8.15294,2073,NeonatalMortality,AFG,10.2
10.03,7.93695,7.81885,2074,NeonatalMortality,AFG,9.87439
9.70286,7.60782,7.48575,2075,NeonatalMortality,AFG,9.5446
9.38053,7.27846,7.15257,2076,NeonatalMortality,AFG,9.21471
9.05869,6.94894,6.81906,2077,NeonatalMortality,AFG,8.88339
8.73564,6.61885,6.48499,2078,NeonatalMortality,AFG,8.55229
8.58035,6.45621,6.31878,2079,NeonatalMortality,AFG,8.38887
8.42427,6.29337,6.15332,2080,NeonatalMortality,AFG,8.22618
8.26796,6.13138,5.98959,2081,NeonatalMortality,AFG,8.06398
8.1114,5.97077,5.8116,2082,NeonatalMortality,AFG,7.90345
7.95512,5.79533,5.65561,2083,NeonatalMortality,AFG,7.74471
7.79996,5.64114,5.49318,2084,NeonatalMortality,AFG,7.58824
7.64569,5.47935,5.34016,2085,NeonatalMortality,AFG,7.43389
7.49307,5.3266,5.18742,2086,NeonatalMortality,AFG,7.28229
7.34227,5.17349,5.03687,2087,NeonatalMortality,AFG,7.13298
7.1932,5.02225,4.88771,2088,NeonatalMortality,AFG,6.98603
7.04585,4.87221,4.73901,2089,NeonatalMortality,AFG,6.84069
6.89982,4.72312,4.59126,2090,NeonatalMortality,AFG,6.69668
6.75488,4.5749,4.44391,2091,NeonatalMortality,AFG,6.55416
6.61093,4.42666,4.29655,2092,NeonatalMortality,AFG,6.41324
6.46801,4.2774,4.14834,2093,NeonatalMortality,AFG,6.27373
6.32581,4.12677,3.99835,2094,NeonatalMortality,AFG,6.13495
6.185,3.97517,3.84566,2095,NeonatalMortality,AFG,5.9889
6.03736,3.82128,3.69561,2096,NeonatalMortality,AFG,5.85481
5.90207,3.6717,3.57131,2097,NeonatalMortality,AFG,5.7154
5.76134,3.54827,3.46907,2098,NeonatalMortality,AFG,5.5817
5.62894,3.44836,3.38331,2099,NeonatalMortality,AFG,5.45253
5.50017,3.36329,3.32665,2100,NeonatalMortality,AFG,5.32541
34.07,34.07,34.07,2019,NeonatalMortality,AGO,34.07
34.11,34.11,34.11,2020,NeonatalMortality,AGO,34.11
33.38,33.38,33.38,2021,NeonatalMortality,AGO,33.38
32.32,32.32,32.32,2022,NeonatalMortality,AGO,32.32
31.68,31.68,31.68,2023,NeonatalMortality,AGO,31.68
30.8,30.8,30.8,2024,NeonatalMortality,AGO,30.8
29.92,29.75,29.75,2025,NeonatalMortality,AGO,29.92
28.91,28.65,28.66,2026,NeonatalMortality,AGO,28.92
27.74,27.32,27.32,2027,NeonatalMortality,AGO,27.75
26.6,26.03,26.05,2028,NeonatalMortality,AGO,26.62
25.48,24.78,24.78,2029,NeonatalMortality,AGO,25.49
24.41,23.59,23.52,2030,NeonatalMortality,AGO,24.36
23.42,22.48,22.33,2031,NeonatalMortality,AGO,23.28
22.5,21.46,21.24,2032,NeonatalMortality,AGO,22.29
21.67,20.52,20.23,2033,NeonatalMortality,AGO,21.38
20.92,19.66,19.31,2034,NeonatalMortality,AGO,20.56
20.21,18.86,18.47,2035,NeonatalMortality,AGO,19.81
19.54,18.1,17.71,2036,NeonatalMortality,AGO,19.13
18.89,17.37,16.98,2037,NeonatalMortality,AGO,18.46
18.25,16.71,16.29,2038,NeonatalMortality,AGO,17.81
17.62,16.05,15.62,2039,NeonatalMortality,AGO,17.16
17.01,15.41,14.97,2040,NeonatalMortality,AGO,16.52
16.4,14.79,14.33,2041,NeonatalMortality,AGO,15.9
15.81,14.19,13.72,2042,NeonatalMortality,AGO,15.3
15.27,13.62,13.15,2043,NeonatalMortality,AGO,14.75
14.75,13.09,12.61,2044,NeonatalMortality,AGO,14.22
14.27,12.59,12.09,2045,NeonatalMortality,AGO,13.72
13.81,12.13,11.6,2046,NeonatalMortality,AGO,13.24
13.37,11.69,11.13,2047,NeonatalMortality,AGO,12.77
