Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
23.77,23.77,23.77,2019,Pov550_Number,AFG,23.77
25.53,25.53,25.53,2020,Pov550_Number,AFG,25.53
30.57,30.57,30.57,2021,Pov550_Number,AFG,30.57
33.91,33.91,33.91,2022,Pov550_Number,AFG,33.91
35.74,35.74,35.74,2023,Pov550_Number,AFG,35.74
37.46,37.46,37.46,2024,Pov550_Number,AFG,37.46
39.03,39.02,39.02,2025,Pov550_Number,AFG,39.03
40.22,40.24,40.24,2026,Pov550_Number,AFG,40.22
41.17,41.21,41.21,2027,Pov550_Number,AFG,41.16
41.95,42.06,42.04,2028,Pov550_Number,AFG,41.94
42.8,42.93,42.91,2029,Pov550_Number,AFG,42.77
43.64,43.8,43.74,2030,Pov550_Number,AFG,43.58
44.64,44.81,44.64,2031,Pov550_Number,AFG,44.48
46.05,46.22,45.95,2032,Pov550_Number,AFG,45.78
47.7,47.9,47.55,2033,Pov550_Number,AFG,47.35
49.49,49.68,49.28,2034,Pov550_Number,AFG,49.08
51.34,51.46,51.03,2035,Pov550_Number,AFG,50.93
53.2,53.16,52.75,2036,Pov550_Number,AFG,52.85
55.06,54.77,54.44,2037,Pov550_Number,AFG,54.8
56.87,56.28,55.99,2038,Pov550_Number,AFG,56.68
58.49,57.66,57.43,2039,Pov550_Number,AFG,58.27
59.77,58.87,58.64,2040,Pov550_Number,AFG,59.53
61.07,59.89,59.58,2041,Pov550_Number,AFG,60.8
62.39,60.7,60.26,2042,Pov550_Number,AFG,62.05
63.53,61.39,60.72,2043,Pov550_Number,AFG,62.81
64.42,61.94,61.04,2044,Pov550_Number,AFG,63.54
65.25,62.32,61.25,2045,Pov550_Number,AFG,64.23
65.98,62.53,61.33,2046,Pov550_Number,AFG,64.9
66.59,62.6,61.26,2047,Pov550_Number,AFG,65.46
67.07,62.55,61.03,2048,Pov550_Number,AFG,65.82
67.42,62.4,60.68,2049,Pov550_Number,AFG,66.02
67.59,62.07,60.18,2050,Pov550_Number,AFG,66.09
67.63,61.62,59.74,2051,Pov550_Number,AFG,66.08
