Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
79.46,79.46,79.46,2019,Pov550_Percent,AFG,79.46
81.56,81.56,81.56,2020,Pov550_Percent,AFG,81.56
89.93,89.93,89.93,2021,Pov550_Percent,AFG,89.93
93.39,93.39,93.39,2022,Pov550_Percent,AFG,93.39
94.29,94.29,94.29,2023,Pov550_Percent,AFG,94.29
94.99,94.99,94.99,2024,Pov550_Percent,AFG,94.99
95.44,95.51,95.51,2025,Pov550_Percent,AFG,95.44
95.44,95.62,95.61,2026,Pov550_Percent,AFG,95.43
95.25,95.5,95.5,2027,Pov550_Percent,AFG,95.24
94.91,95.27,95.25,2028,Pov550_Percent,AFG,94.89
94.62,95.07,95.04,2029,Pov550_Percent,AFG,94.59
94.35,94.87,94.79,2030,Pov550_Percent,AFG,94.27
94.2,94.79,94.61,2031,Pov550_Percent,AFG,94.03
94.42,95.04,94.77,2032,Pov550_Percent,AFG,94.15
94.81,95.46,95.14,2033,Pov550_Percent,AFG,94.47
95.26,95.91,95.56,2034,Pov550_Percent,AFG,94.89
95.71,96.31,95.96,2035,Pov550_Percent,AFG,95.36
96.12,96.61,96.29,2036,Pov550_Percent,AFG,95.83
96.5,96.84,96.62,2037,Pov550_Percent,AFG,96.28
96.81,97.0,96.81,2038,Pov550_Percent,AFG,96.66
96.98,97.07,96.92,2039,Pov550_Percent,AFG,96.82
96.92,97.03,96.88,2040,Pov550_Percent,AFG,96.75
96.88,96.88,96.69,2041,Pov550_Percent,AFG,96.69
96.85,96.63,96.34,2042,Pov550_Percent,AFG,96.62
96.7,96.3,95.87,2043,Pov550_Percent,AFG,96.23
96.4,95.89,95.32,2044,Pov550_Percent,AFG,95.82
96.07,95.39,94.71,2045,Pov550_Percent,AFG,95.4
95.67,94.79,94.01,2046,Pov550_Percent,AFG,94.95
95.2,94.11,93.22,2047,Pov550_Percent,AFG,94.44
94.65,93.35,92.32,2048,Pov550_Percent,AFG,93.8
94.01,92.52,91.32,2049,Pov550_Percent,AFG,93.05
93.25,91.56,90.21,2050,Pov550_Percent,AFG,92.21
92.4,90.5,89.12,2051,Pov550_Percent,AFG,91.31
91.49,89.35,87.96,2052,Pov550_Percent,AFG,90.31
90.54,88.12,86.69,2053,Pov550_Percent,AFG,89.31
89.56,86.8,85.35,2054,Pov550_Percent,AFG,88.35
88.58,85.44,83.97,2055,Pov550_Percent,AFG,87.43
87.58,83.97,82.59,2056,Pov550_Percent,AFG,86.56
86.58,82.5,81.21,2057,Pov550_Percent,AFG,85.75
85.62,81.03,79.88,2058,Pov550_Percent,AFG,85.0
84.68,79.58,78.58,2059,Pov550_Percent,AFG,84.28
83.83,78.15,77.35,2060,Pov550_Percent,AFG,83.64
83.06,76.77,76.18,2061,Pov550_Percent,AFG,82.99
82.31,75.42,75.03,2062,Pov550_Percent,AFG,82.4
81.59,74.1,73.9,2063,Pov550_Percent,AFG,81.81
80.9,72.81,72.74,2064,Pov550_Percent,AFG,81.21
80.25,71.53,71.53,2065,Pov550_Percent,AFG,80.62
79.63,70.25,70.25,2066,Pov550_Percent,AFG,80.02
79.04,68.96,68.96,2067,Pov550_Percent,AFG,79.44
78.48,67.69,67.7,2068,Pov550_Percent,AFG,78.93
77.92,66.42,66.51,2069,Pov550_Percent,AFG,78.46
77.37,65.16,65.38,2070,Pov550_Percent,AFG,78.02
76.83,63.91,64.27,2071,Pov550_Percent,AFG,77.57
76.28,62.66,63.15,2072,Pov550_Percent,AFG,77.08
75.72,61.41,61.96,2073,Pov550_Percent,AFG,76.5
75.17,60.16,60.65,2074,Pov550_Percent,AFG,75.85
74.61,58.95,59.32,2075,Pov550_Percent,AFG,75.14
74.04,57.7,57.87,2076,Pov550_Percent,AFG,74.35
73.45,56.41,56.29,2077,Pov550_Percent,AFG,73.44
72.81,55.07,54.54,2078,Pov550_Percent,AFG,72.44
72.11,53.63,52.61,2079,Pov550_Percent,AFG,71.34
71.35,52.05,50.56,2080,Pov550_Percent,AFG,70.14
70.53,50.39,48.48,2081,Pov550_Percent,AFG,68.85
69.63,48.68,39.84,2082,Pov550_Percent,AFG,67.49
68.63,40.48,37.52,2083,Pov550_Percent,AFG,66.07
67.51,38.48,35.33,2084,Pov550_Percent,AFG,64.64
66.29,36.47,33.23,2085,Pov550_Percent,AFG,63.21
65.01,34.48,31.17,2086,Pov550_Percent,AFG,61.8
63.72,32.43,29.19,2087,Pov550_Percent,AFG,60.42
62.44,30.41,27.31,2088,Pov550_Percent,AFG,59.08
61.17,28.51,25.54,2089,Pov550_Percent,AFG,57.76
59.88,26.73,23.94,2090,Pov550_Percent,AFG,56.44
58.55,25.07,22.47,2091,Pov550_Percent,AFG,55.16
57.18,23.48,21.12,2092,Pov550_Percent,AFG,53.97
55.85,21.95,19.84,2093,Pov550_Percent,AFG,52.86
54.56,20.48,18.6,2094,Pov550_Percent,AFG,51.82
53.33,19.06,17.3,2095,Pov550_Percent,AFG,48.13
49.56,17.59,16.0,2096,Pov550_Percent,AFG,47.39
48.61,16.16,14.81,2097,Pov550_Percent,AFG,46.19
47.21,14.86,13.71,2098,Pov550_Percent,AFG,45.17
46.08,13.73,12.72,2099,Pov550_Percent,AFG,44.28
45.0,12.65,11.75,2100,Pov550_Percent,AFG,43.39
90.18,90.18,90.18,2019,Pov550_Percent,AGO,90.18
91.44,91.44,91.44,2020,Pov550_Percent,AGO,91.44
91.74,91.74,91.74,2021,Pov550_Percent,AGO,91.74
91.65,91.65,91.65,2022,Pov550_Percent,AGO,91.65
91.55,91.55,91.55,2023,Pov550_Percent,AGO,91.55
91.02,91.02,91.02,2024,Pov550_Percent,AGO,91.02
90.14,90.11,90.11,2025,Pov550_Percent,AGO,90.14
89.1,89.07,89.07,2026,Pov550_Percent,AGO,89.1
87.8,87.79,87.75,2027,Pov550_Percent,AGO,87.76
86.55,86.54,86.4,2028,Pov550_Percent,AGO,86.41
85.53,85.52,85.13,2029,Pov550_Percent,AGO,85.16
84.84,84.79,84.19,2030,Pov550_Percent,AGO,84.3
84.43,84.32,83.26,2031,Pov550_Percent,AGO,83.42
84.17,83.94,82.51,2032,Pov550_Percent,AGO,82.79
83.95,83.58,81.87,2033,Pov550_Percent,AGO,82.3
83.63,83.09,81.26,2034,Pov550_Percent,AGO,81.87
83.19,82.47,80.63,2035,Pov550_Percent,AGO,81.43
82.67,81.77,80.01,2036,Pov550_Percent,AGO,81.01
82.16,81.07,79.38,2037,Pov550_Percent,AGO,80.59
81.72,80.47,78.8,2038,Pov550_Percent,AGO,80.2
81.35,79.95,78.29,2039,Pov550_Percent,AGO,79.89
81.11,79.52,77.85,2040,Pov550_Percent,AGO,79.68
80.94,79.14,77.5,2041,Pov550_Percent,AGO,79.51
80.87,78.86,77.24,2042,Pov550_Percent,AGO,79.42
