Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.97906,0.97906,0.97906,2019,PovHeadcountRatioFtoM,AFG,0.97906
0.97661,0.97661,0.97661,2020,PovHeadcountRatioFtoM,AFG,0.97661
0.97399,0.97399,0.97399,2021,PovHeadcountRatioFtoM,AFG,0.97399
0.97171,0.97171,0.97171,2022,PovHeadcountRatioFtoM,AFG,0.97171
0.96973,0.96973,0.96973,2023,PovHeadcountRatioFtoM,AFG,0.96973
0.96787,0.96787,0.96787,2024,PovHeadcountRatioFtoM,AFG,0.96787
0.96618,0.96617,0.96617,2025,PovHeadcountRatioFtoM,AFG,0.96618
0.9646,0.96458,0.96458,2026,PovHeadcountRatioFtoM,AFG,0.9646
0.96312,0.96309,0.96309,2027,PovHeadcountRatioFtoM,AFG,0.96312
0.96173,0.96169,0.9617,2028,PovHeadcountRatioFtoM,AFG,0.96173
0.9604,0.96037,0.96038,2029,PovHeadcountRatioFtoM,AFG,0.96041
0.95915,0.95913,0.95914,2030,PovHeadcountRatioFtoM,AFG,0.95916
0.95796,0.95794,0.95797,2031,PovHeadcountRatioFtoM,AFG,0.95799
0.95679,0.95677,0.95681,2032,PovHeadcountRatioFtoM,AFG,0.95683
0.95565,0.95562,0.95567,2033,PovHeadcountRatioFtoM,AFG,0.95569
0.95455,0.95451,0.95456,2034,PovHeadcountRatioFtoM,AFG,0.9546
0.95356,0.95352,0.95358,2035,PovHeadcountRatioFtoM,AFG,0.95361
0.95262,0.9526,0.95265,2036,PovHeadcountRatioFtoM,AFG,0.95267
0.95175,0.95174,0.95178,2037,PovHeadcountRatioFtoM,AFG,0.95178
0.95092,0.95094,0.95098,2038,PovHeadcountRatioFtoM,AFG,0.95094
0.95017,0.95021,0.95023,2039,PovHeadcountRatioFtoM,AFG,0.95019
0.94949,0.94954,0.94956,2040,PovHeadcountRatioFtoM,AFG,0.94952
0.94886,0.94893,0.94897,2041,PovHeadcountRatioFtoM,AFG,0.94889
0.94828,0.9484,0.94845,2042,PovHeadcountRatioFtoM,AFG,0.94831
0.94777,0.94794,0.94801,2043,PovHeadcountRatioFtoM,AFG,0.94784
0.94735,0.94755,0.94765,2044,PovHeadcountRatioFtoM,AFG,0.94744
0.94694,0.9472,0.94732,2045,PovHeadcountRatioFtoM,AFG,0.94705
0.94659,0.94691,0.94705,2046,PovHeadcountRatioFtoM,AFG,0.94671
0.9463,0.9467,0.94687,2047,PovHeadcountRatioFtoM,AFG,0.94643
0.9461,0.94659,0.94679,2048,PovHeadcountRatioFtoM,AFG,0.94625
0.94599,0.94659,0.94685,2049,PovHeadcountRatioFtoM,AFG,0.94616
0.94598,0.94671,0.94703,2050,PovHeadcountRatioFtoM,AFG,0.94618
0.94607,0.94697,0.94732,2051,PovHeadcountRatioFtoM,AFG,0.94629
0.94625,0.94736,0.94774,2052,PovHeadcountRatioFtoM,AFG,0.9465
0.94652,0.9479,0.94832,2053,PovHeadcountRatioFtoM,AFG,0.94681
0.94688,0.94858,0.94905,2054,PovHeadcountRatioFtoM,AFG,0.94719
0.94736,0.94946,0.95001,2055,PovHeadcountRatioFtoM,AFG,0.94768
0.94796,0.95059,0.95116,2056,PovHeadcountRatioFtoM,AFG,0.94826
0.94866,0.95193,0.95251,2057,PovHeadcountRatioFtoM,AFG,0.94892
0.94944,0.95346,0.95404,2058,PovHeadcountRatioFtoM,AFG,0.94964
0.9503,0.95521,0.95575,2059,PovHeadcountRatioFtoM,AFG,0.95042
0.9512,0.95715,0.9576,2060,PovHeadcountRatioFtoM,AFG,0.95123
0.95213,0.9593,0.95959,2061,PovHeadcountRatioFtoM,AFG,0.95211
0.95313,0.96167,0.96179,2062,PovHeadcountRatioFtoM,AFG,0.95302
0.95418,0.96426,0.96418,2063,PovHeadcountRatioFtoM,AFG,0.95398
0.95527,0.96708,0.9668,2064,PovHeadcountRatioFtoM,AFG,0.95499
0.95639,0.9701,0.96969,2065,PovHeadcountRatioFtoM,AFG,0.95604
0.95752,0.97334,0.97285,2066,PovHeadcountRatioFtoM,AFG,0.95714
0.95866,0.97675,0.97621,2067,PovHeadcountRatioFtoM,AFG,0.95824
0.95978,0.98027,0.97965,2068,PovHeadcountRatioFtoM,AFG,0.9593
0.96008,0.98184,0.98108,2069,PovHeadcountRatioFtoM,AFG,0.95953
0.96042,0.98349,0.9825,2070,PovHeadcountRatioFtoM,AFG,0.95979
0.96075,0.98513,0.98387,2071,PovHeadcountRatioFtoM,AFG,0.96005
0.96107,0.9868,0.9853,2072,PovHeadcountRatioFtoM,AFG,0.96034
0.9614,0.98851,0.98689,2073,PovHeadcountRatioFtoM,AFG,0.9607
0.96173,0.99031,0.98888,2074,PovHeadcountRatioFtoM,AFG,0.96113
0.96208,0.99206,0.99091,2075,PovHeadcountRatioFtoM,AFG,0.96163
0.96245,0.99402,0.99335,2076,PovHeadcountRatioFtoM,AFG,0.96222
0.96289,0.99621,0.99632,2077,PovHeadcountRatioFtoM,AFG,0.96297
0.96343,0.99879,1.00017,2078,PovHeadcountRatioFtoM,AFG,0.96388
0.9641,1.00206,1.00509,2079,PovHeadcountRatioFtoM,AFG,0.96498
0.96471,1.00569,1.01057,2080,PovHeadcountRatioFtoM,AFG,0.96608
0.96539,1.00988,1.01676,2081,PovHeadcountRatioFtoM,AFG,0.96733
0.9662,1.01464,1.07994,2082,PovHeadcountRatioFtoM,AFG,0.96873
0.96718,1.09155,1.07605,2083,PovHeadcountRatioFtoM,AFG,0.97029
0.96835,1.09044,1.07219,2084,PovHeadcountRatioFtoM,AFG,0.97198
0.9697,1.08875,1.06772,2085,PovHeadcountRatioFtoM,AFG,0.97377
0.97118,1.08626,1.07004,2086,PovHeadcountRatioFtoM,AFG,0.97562
0.97275,1.08217,1.0722,2087,PovHeadcountRatioFtoM,AFG,0.97751
0.97437,1.08053,1.07405,2088,PovHeadcountRatioFtoM,AFG,0.97942
0.97602,1.08273,1.07807,2089,PovHeadcountRatioFtoM,AFG,0.98138
0.97776,1.0845,1.07881,2090,PovHeadcountRatioFtoM,AFG,0.98342
0.97962,1.08989,1.08323,2091,PovHeadcountRatioFtoM,AFG,0.98546
0.98161,1.08801,1.08748,2092,PovHeadcountRatioFtoM,AFG,0.98739
0.98361,1.09181,1.09142,2093,PovHeadcountRatioFtoM,AFG,0.9892
0.98554,1.09553,1.09502,2094,PovHeadcountRatioFtoM,AFG,0.99091
0.98745,1.09889,1.09824,2095,PovHeadcountRatioFtoM,AFG,1.00448
0.99973,1.10182,1.10102,2096,PovHeadcountRatioFtoM,AFG,1.00573
1.0014,1.10434,1.10335,2097,PovHeadcountRatioFtoM,AFG,1.0085
1.00446,1.10642,1.10529,2098,PovHeadcountRatioFtoM,AFG,1.01077
1.00683,1.10832,1.10705,2099,PovHeadcountRatioFtoM,AFG,1.01263
1.00912,1.10985,1.10833,2100,PovHeadcountRatioFtoM,AFG,1.01453
1.02889,1.02889,1.02889,2019,PovHeadcountRatioFtoM,AGO,1.02889
1.0258,1.0258,1.0258,2020,PovHeadcountRatioFtoM,AGO,1.0258
1.02308,1.02308,1.02308,2021,PovHeadcountRatioFtoM,AGO,1.02308
1.02058,1.02058,1.02058,2022,PovHeadcountRatioFtoM,AGO,1.02058
1.01827,1.01827,1.01827,2023,PovHeadcountRatioFtoM,AGO,1.01827
1.01616,1.01616,1.01616,2024,PovHeadcountRatioFtoM,AGO,1.01616
1.01422,1.01425,1.01425,2025,PovHeadcountRatioFtoM,AGO,1.01422
1.01242,1.01248,1.01248,2026,PovHeadcountRatioFtoM,AGO,1.01242
1.01078,1.01086,1.01086,2027,PovHeadcountRatioFtoM,AGO,1.01078
1.00925,1.00936,1.00936,2028,PovHeadcountRatioFtoM,AGO,1.00926
1.00776,1.00791,1.00796,2029,PovHeadcountRatioFtoM,AGO,1.00781
1.00631,1.0065,1.00658,2030,PovHeadcountRatioFtoM,AGO,1.00638
1.00489,1.00513,1.00534,2031,PovHeadcountRatioFtoM,AGO,1.00508
1.00353,1.00384,1.00415,2032,PovHeadcountRatioFtoM,AGO,1.00382
1.00225,1.00266,1.003,2033,PovHeadcountRatioFtoM,AGO,1.00263
1.00109,1.00161,1.00192,2034,PovHeadcountRatioFtoM,AGO,1.00145
1.00023,1.0008,1.00112,2035,PovHeadcountRatioFtoM,AGO,1.00053
0.99941,1.00009,1.00039,2036,PovHeadcountRatioFtoM,AGO,0.99967
0.99861,0.99946,0.99973,2037,PovHeadcountRatioFtoM,AGO,0.99885
0.99783,0.99877,0.99902,2038,PovHeadcountRatioFtoM,AGO,0.99804
0.99705,0.99806,0.99829,2039,PovHeadcountRatioFtoM,AGO,0.99722
0.99624,0.99734,0.99755,2040,PovHeadcountRatioFtoM,AGO,0.99638
0.99541,0.9966,0.99678,2041,PovHeadcountRatioFtoM,AGO,0.99553
0.99455,0.99583,0.99599,2042,PovHeadcountRatioFtoM,AGO,0.99466
0.9937,0.99508,0.99527,2043,PovHeadcountRatioFtoM,AGO,0.99384
0.9929,0.99434,0.99468,2044,PovHeadcountRatioFtoM,AGO,0.99308
