Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
1.07083,1.07083,1.07083,2019,PovHeadcountSexDif_25_34,AFG,0.03369
1.24012,1.24012,1.24012,2020,PovHeadcountSexDif_25_34,AFG,0.03554
1.6336,1.6336,1.6336,2021,PovHeadcountSexDif_25_34,AFG,0.02331
2.09381,2.09381,2.09381,2022,PovHeadcountSexDif_25_34,AFG,0.01532
2.42582,2.42582,2.42582,2023,PovHeadcountSexDif_25_34,AFG,0.01115
2.72466,2.72466,2.72431,2024,PovHeadcountSexDif_25_34,AFG,0.00591
3.00355,2.94831,2.94765,2025,PovHeadcountSexDif_25_34,AFG,-0.00021
3.18856,3.09597,3.09531,2026,PovHeadcountSexDif_25_34,AFG,-0.005
3.25098,3.12719,3.12601,2027,PovHeadcountSexDif_25_34,AFG,-0.00866
3.2525,3.11385,3.11332,2028,PovHeadcountSexDif_25_34,AFG,-0.01086
3.26126,3.09989,3.10336,2029,PovHeadcountSexDif_25_34,AFG,-0.01271
3.26354,3.07669,3.0756,2030,PovHeadcountSexDif_25_34,AFG,-0.01383
3.29802,3.08412,3.06297,2031,PovHeadcountSexDif_25_34,AFG,-0.01496
3.43346,3.19015,3.14669,2032,PovHeadcountSexDif_25_34,AFG,-0.01797
3.63825,3.37318,3.30936,2033,PovHeadcountSexDif_25_34,AFG,-0.02202
3.8897,3.59742,3.51777,2034,PovHeadcountSexDif_25_34,AFG,-0.02655
4.16607,3.83226,3.74439,2035,PovHeadcountSexDif_25_34,AFG,-0.03071
4.45602,4.05409,3.97191,2036,PovHeadcountSexDif_25_34,AFG,-0.03471
4.75263,4.24978,4.15612,2037,PovHeadcountSexDif_25_34,AFG,-0.03832
5.0404,4.40632,4.32582,2038,PovHeadcountSexDif_25_34,AFG,-0.04115
5.26943,4.52638,4.46582,2039,PovHeadcountSexDif_25_34,AFG,-0.04113
5.36879,4.59281,4.53748,2040,PovHeadcountSexDif_25_34,AFG,-0.03775
5.46799,4.60146,4.53036,2041,PovHeadcountSexDif_25_34,AFG,-0.0342
5.57692,4.55639,4.45225,2042,PovHeadcountSexDif_25_34,AFG,-0.03036
5.63465,4.48822,4.33206,2043,PovHeadcountSexDif_25_34,AFG,-0.02256
5.62593,4.40149,4.1979,2044,PovHeadcountSexDif_25_34,AFG,-0.01477
5.58566,4.26637,4.04189,2045,PovHeadcountSexDif_25_34,AFG,-0.01351
5.52466,4.10706,3.87727,2046,PovHeadcountSexDif_25_34,AFG,-0.01202
5.44256,3.94178,3.70809,2047,PovHeadcountSexDif_25_34,AFG,-0.00979
5.34759,3.78182,3.53604,2048,PovHeadcountSexDif_25_34,AFG,-0.00627
5.24296,3.63148,3.37308,2049,PovHeadcountSexDif_25_34,AFG,-0.00171
5.11489,3.4794,3.21622,2050,PovHeadcountSexDif_25_34,AFG,0.00362
4.97893,3.33547,3.0976,2051,PovHeadcountSexDif_25_34,AFG,0.00942
4.84768,3.20297,2.99248,2052,PovHeadcountSexDif_25_34,AFG,0.01596
4.72595,3.07798,2.88072,2053,PovHeadcountSexDif_25_34,AFG,0.02256
4.61249,2.95329,2.76949,2054,PovHeadcountSexDif_25_34,AFG,0.02881
4.52547,2.84249,2.66684,2055,PovHeadcountSexDif_25_34,AFG,0.03913
4.44464,2.72219,2.56942,2056,PovHeadcountSexDif_25_34,AFG,0.04915
4.36484,2.60554,2.47515,2057,PovHeadcountSexDif_25_34,AFG,0.05885
4.2875,2.49099,2.3837,2058,PovHeadcountSexDif_25_34,AFG,0.06824
4.20955,2.37806,2.29575,2059,PovHeadcountSexDif_25_34,AFG,0.07743
4.14158,2.26899,2.21163,2060,PovHeadcountSexDif_25_34,AFG,0.08619
4.08159,2.16542,2.13356,2061,PovHeadcountSexDif_25_34,AFG,0.09495
4.01933,2.06527,2.05565,2062,PovHeadcountSexDif_25_34,AFG,0.10347
3.95576,1.9702,1.97875,2063,PovHeadcountSexDif_25_34,AFG,0.1119
3.89403,1.88104,1.90287,2064,PovHeadcountSexDif_25_34,AFG,0.12043
3.83858,1.8012,1.82781,2065,PovHeadcountSexDif_25_34,AFG,0.12892
3.79077,1.72857,1.75603,2066,PovHeadcountSexDif_25_34,AFG,0.13746
3.75224,1.66514,1.69115,2067,PovHeadcountSexDif_25_34,AFG,0.14581
3.72483,1.61006,1.63521,2068,PovHeadcountSexDif_25_34,AFG,0.1538
3.70535,1.56034,1.58752,2069,PovHeadcountSexDif_25_34,AFG,0.15052
3.6911,1.51351,1.54509,2070,PovHeadcountSexDif_25_34,AFG,0.14701
3.67993,1.46797,1.50426,2071,PovHeadcountSexDif_25_34,AFG,0.14349
3.66792,1.4221,1.46114,2072,PovHeadcountSexDif_25_34,AFG,0.14022
3.65259,1.37475,1.41229,2073,PovHeadcountSexDif_25_34,AFG,0.13734
3.63405,1.32477,1.35057,2074,PovHeadcountSexDif_25_34,AFG,0.13486
3.6106,1.27574,1.28972,2075,PovHeadcountSexDif_25_34,AFG,0.13261
3.5828,1.22208,1.22106,2076,PovHeadcountSexDif_25_34,AFG,0.13073
3.54865,1.16541,1.14566,2077,PovHeadcountSexDif_25_34,AFG,0.1293
3.50136,1.10571,1.06246,2078,PovHeadcountSexDif_25_34,AFG,0.12822
3.44381,1.04071,0.97465,2079,PovHeadcountSexDif_25_34,AFG,0.12745
3.37367,0.97118,0.88749,2080,PovHeadcountSexDif_25_34,AFG,0.12691
3.29393,0.9025,0.80668,2081,PovHeadcountSexDif_25_34,AFG,0.12652
3.20388,0.83704,0.26017,2082,PovHeadcountSexDif_25_34,AFG,0.12613
3.10319,0.28258,0.22759,2083,PovHeadcountSexDif_25_34,AFG,0.12567
2.99391,0.25259,0.2003,2084,PovHeadcountSexDif_25_34,AFG,0.12501
2.87676,0.22479,0.17606,2085,PovHeadcountSexDif_25_34,AFG,0.12408
