Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
1.79174,1.79174,1.79174,2019,PovRateSexDif_25_34,AFG,1.79174
1.88818,1.88818,1.88818,2020,PovRateSexDif_25_34,AFG,1.88818
1.59683,1.59683,1.59683,2021,PovRateSexDif_25_34,AFG,1.59683
1.53045,1.53045,1.53045,2022,PovRateSexDif_25_34,AFG,1.53045
1.56134,1.56134,1.56131,2023,PovRateSexDif_25_34,AFG,1.56131
1.5718,1.5718,1.57149,2024,PovRateSexDif_25_34,AFG,1.57149
1.57616,1.53842,1.53801,2025,PovRateSexDif_25_34,AFG,1.57576
1.59253,1.5234,1.52324,2026,PovRateSexDif_25_34,AFG,1.59234
1.58311,1.49692,1.49762,2027,PovRateSexDif_25_34,AFG,1.58383
1.57539,1.47934,1.48163,2028,PovRateSexDif_25_34,AFG,1.57763
1.57208,1.46768,1.47243,2029,PovRateSexDif_25_34,AFG,1.57663
1.57113,1.45715,1.46485,2030,PovRateSexDif_25_34,AFG,1.57828
1.57317,1.44532,1.45644,2031,PovRateSexDif_25_34,AFG,1.58301
1.57961,1.43409,1.44709,2032,PovRateSexDif_25_34,AFG,1.59044
1.59397,1.42732,1.44153,2033,PovRateSexDif_25_34,AFG,1.6049
1.61424,1.42374,1.43951,2034,PovRateSexDif_25_34,AFG,1.62537
1.65034,1.43545,1.4533,2035,PovRateSexDif_25_34,AFG,1.66213
1.69104,1.45177,1.47186,2036,PovRateSexDif_25_34,AFG,1.70365
1.73368,1.46711,1.47023,2037,PovRateSexDif_25_34,AFG,1.74739
1.77591,1.47667,1.48048,2038,PovRateSexDif_25_34,AFG,1.79094
1.81686,1.48588,1.49096,2039,PovRateSexDif_25_34,AFG,1.82685
1.8523,1.4961,1.50259,2040,PovRateSexDif_25_34,AFG,1.85888
1.88184,1.50644,1.51421,2041,PovRateSexDif_25_34,AFG,1.89043
1.91196,1.5168,1.52571,2042,PovRateSexDif_25_34,AFG,1.92291
1.94411,1.52889,1.53851,2043,PovRateSexDif_25_34,AFG,1.95775
1.97931,1.54384,1.55341,2044,PovRateSexDif_25_34,AFG,1.9946
2.01669,1.56019,1.57008,2045,PovRateSexDif_25_34,AFG,2.03289
2.05697,1.57892,1.58955,2046,PovRateSexDif_25_34,AFG,2.07383
2.10043,1.60144,1.61296,2047,PovRateSexDif_25_34,AFG,2.11771
2.14751,1.62867,1.64048,2048,PovRateSexDif_25_34,AFG,2.16435
2.19816,1.66136,1.67302,2049,PovRateSexDif_25_34,AFG,2.21351
2.25077,1.69815,1.70948,2050,PovRateSexDif_25_34,AFG,2.26473
2.30641,1.74058,1.75205,2051,PovRateSexDif_25_34,AFG,2.31966
2.3656,1.78845,1.80009,2052,PovRateSexDif_25_34,AFG,2.378
2.42833,1.84093,1.85103,2053,PovRateSexDif_25_34,AFG,2.43903
2.49351,1.89551,1.90335,2054,PovRateSexDif_25_34,AFG,2.50205
2.55922,1.94986,1.95435,2055,PovRateSexDif_25_34,AFG,2.56518
2.62517,2.00334,2.00467,2056,PovRateSexDif_25_34,AFG,2.62811
2.69009,2.05566,2.05402,2057,PovRateSexDif_25_34,AFG,2.69003
2.75336,2.1066,2.10224,2058,PovRateSexDif_25_34,AFG,2.75017
2.81467,2.1569,2.15036,2059,PovRateSexDif_25_34,AFG,2.80827
2.87323,2.20615,2.19763,2060,PovRateSexDif_25_34,AFG,2.8642
2.93004,2.2553,2.24508,2061,PovRateSexDif_25_34,AFG,2.91851
2.98503,2.30401,2.29249,2062,PovRateSexDif_25_34,AFG,2.97146
3.03836,2.35282,2.34024,2063,PovRateSexDif_25_34,AFG,3.02332
3.09062,2.40247,2.38932,2064,PovRateSexDif_25_34,AFG,3.07447
3.14211,2.4542,2.44034,2065,PovRateSexDif_25_34,AFG,3.12547
3.19389,2.50875,2.49484,2066,PovRateSexDif_25_34,AFG,3.17698
3.24703,2.56693,2.55251,2067,PovRateSexDif_25_34,AFG,3.22969
3.3025,2.62782,2.61197,2068,PovRateSexDif_25_34,AFG,3.28441
3.23146,2.5611,2.54318,2069,PovRateSexDif_25_34,AFG,3.21255
3.163,2.49443,2.47392,2070,PovRateSexDif_25_34,AFG,3.1428
3.09617,2.42707,2.40377,2071,PovRateSexDif_25_34,AFG,3.07419
3.03025,2.35859,2.33248,2072,PovRateSexDif_25_34,AFG,3.00659
2.96487,2.28852,2.25979,2073,PovRateSexDif_25_34,AFG,2.9395
2.89968,2.21643,2.18371,2074,PovRateSexDif_25_34,AFG,2.87277
2.83434,2.14261,2.10782,2075,PovRateSexDif_25_34,AFG,2.80624
2.76917,2.06678,2.03006,2076,PovRateSexDif_25_34,AFG,2.73985
2.70418,1.98924,1.95094,2077,PovRateSexDif_25_34,AFG,2.67283
2.63847,1.91164,1.87289,2078,PovRateSexDif_25_34,AFG,2.60591
2.57301,1.83615,1.79758,2079,PovRateSexDif_25_34,AFG,2.53943
2.50717,1.76322,1.72587,2080,PovRateSexDif_25_34,AFG,2.47326
2.44178,1.69488,1.65923,2081,PovRateSexDif_25_34,AFG,2.40737
2.37725,1.63158,1.20481,2082,PovRateSexDif_25_34,AFG,2.34252
2.31398,1.18357,1.14783,2083,PovRateSexDif_25_34,AFG,2.27939
2.25277,1.12865,1.09571,2084,PovRateSexDif_25_34,AFG,2.21822
2.19309,1.07719,1.04664,2085,PovRateSexDif_25_34,AFG,2.15884
2.13484,1.02877,1.0007,2086,PovRateSexDif_25_34,AFG,2.10137
2.07763,0.98326,0.95742,2087,PovRateSexDif_25_34,AFG,2.04486
2.02083,0.94048,0.91661,2088,PovRateSexDif_25_34,AFG,1.98861
1.96401,0.90077,0.84229,2089,PovRateSexDif_25_34,AFG,1.9316
1.90653,0.86392,0.73887,2090,PovRateSexDif_25_34,AFG,1.8734
1.84768,0.82891,0.64938,2091,PovRateSexDif_25_34,AFG,1.8142
1.7877,0.72608,0.57254,2092,PovRateSexDif_25_34,AFG,1.7536
1.72692,0.63063,0.50344,2093,PovRateSexDif_25_34,AFG,1.69183
1.66547,0.54582,0.44062,2094,PovRateSexDif_25_34,AFG,1.63045
1.60505,0.47018,0.37469,2095,PovRateSexDif_25_34,AFG,1.41044
