Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
0.01336,0.01336,0.01336,2019,PovRateTotalSexDif,AFG,-0.08614
0.01862,0.01862,0.01862,2020,PovRateTotalSexDif,AFG,-0.10953
0.01574,0.01574,0.01574,2021,PovRateTotalSexDif,AFG,-0.15761
0.01608,0.01608,0.01608,2022,PovRateTotalSexDif,AFG,-0.21593
0.0195,0.0195,0.0195,2023,PovRateTotalSexDif,AFG,-0.26332
0.02239,0.02239,0.02238,2024,PovRateTotalSexDif,AFG,-0.30931
0.02786,0.02705,0.02707,2025,PovRateTotalSexDif,AFG,-0.35454
0.03431,0.03251,0.03252,2026,PovRateTotalSexDif,AFG,-0.38982
0.0401,0.03757,0.03761,2027,PovRateTotalSexDif,AFG,-0.41049
0.04537,0.04225,0.04238,2028,PovRateTotalSexDif,AFG,-0.42344
0.04987,0.04623,0.04644,2029,PovRateTotalSexDif,AFG,-0.43761
0.05351,0.04934,0.04967,2030,PovRateTotalSexDif,AFG,-0.44988
0.05635,0.05142,0.05203,2031,PovRateTotalSexDif,AFG,-0.46477
0.05817,0.05238,0.05316,2032,PovRateTotalSexDif,AFG,-0.49407
0.05922,0.05239,0.05333,2033,PovRateTotalSexDif,AFG,-0.53536
0.05949,0.05162,0.0527,2034,PovRateTotalSexDif,AFG,-0.58641
0.06231,0.05322,0.05444,2035,PovRateTotalSexDif,AFG,-0.64504
0.06503,0.0549,0.05616,2036,PovRateTotalSexDif,AFG,-0.71069
0.06751,0.05635,0.05679,2037,PovRateTotalSexDif,AFG,-0.78136
0.06971,0.05737,0.05777,2038,PovRateTotalSexDif,AFG,-0.85237
0.07178,0.0583,0.05868,2039,PovRateTotalSexDif,AFG,-0.90528
0.07394,0.0594,0.05979,2040,PovRateTotalSexDif,AFG,-0.93554
0.07589,0.06075,0.06121,2041,PovRateTotalSexDif,AFG,-0.96551
0.07833,0.0626,0.06318,2042,PovRateTotalSexDif,AFG,-0.99395
0.08176,0.0652,0.06594,2043,PovRateTotalSexDif,AFG,-0.99131
0.08665,0.0689,0.06949,2044,PovRateTotalSexDif,AFG,-0.98714
0.08987,0.07124,0.07172,2045,PovRateTotalSexDif,AFG,-0.98279
0.09363,0.07389,0.07442,2046,PovRateTotalSexDif,AFG,-0.9774
0.09844,0.07749,0.07808,2047,PovRateTotalSexDif,AFG,-0.96751
0.10497,0.08254,0.08318,2048,PovRateTotalSexDif,AFG,-0.94878
0.1134,0.08932,0.08996,2049,PovRateTotalSexDif,AFG,-0.92414
0.12341,0.09762,0.09825,2050,PovRateTotalSexDif,AFG,-0.89578
0.1349,0.10749,0.10811,2051,PovRateTotalSexDif,AFG,-0.86697
0.14781,0.11877,0.11943,2052,PovRateTotalSexDif,AFG,-0.83627
0.16209,0.13141,0.13201,2053,PovRateTotalSexDif,AFG,-0.80782
0.17745,0.14507,0.14553,2054,PovRateTotalSexDif,AFG,-0.78355
0.19532,0.16086,0.16112,2055,PovRateTotalSexDif,AFG,-0.76175
0.21487,0.17802,0.17808,2056,PovRateTotalSexDif,AFG,-0.74172
0.23556,0.19618,0.19604,2057,PovRateTotalSexDif,AFG,-0.72286
0.2568,0.21489,0.21451,2058,PovRateTotalSexDif,AFG,-0.70493
0.27827,0.23397,0.23341,2059,PovRateTotalSexDif,AFG,-0.68685
0.29948,0.25302,0.25228,2060,PovRateTotalSexDif,AFG,-0.67001
0.32076,0.27236,0.27145,2061,PovRateTotalSexDif,AFG,-0.65192
0.34199,0.29187,0.29083,2062,PovRateTotalSexDif,AFG,-0.63412
0.36298,0.31151,0.31036,2063,PovRateTotalSexDif,AFG,-0.61584
0.38363,0.33131,0.33013,2064,PovRateTotalSexDif,AFG,-0.59621
0.40412,0.35156,0.35032,2065,PovRateTotalSexDif,AFG,-0.57649
0.42441,0.37232,0.37115,2066,PovRateTotalSexDif,AFG,-0.55643
0.44455,0.39364,0.39245,2067,PovRateTotalSexDif,AFG,-0.53789
0.46452,0.41527,0.4139,2068,PovRateTotalSexDif,AFG,-0.52244
0.46554,0.41581,0.41407,2069,PovRateTotalSexDif,AFG,-0.51937
0.46787,0.41703,0.4148,2070,PovRateTotalSexDif,AFG,-0.51697
0.46997,0.41763,0.41481,2071,PovRateTotalSexDif,AFG,-0.5143
0.47167,0.41741,0.41399,2072,PovRateTotalSexDif,AFG,-0.50986
0.4728,0.4162,0.41218,2073,PovRateTotalSexDif,AFG,-0.50252
0.47345,0.41399,0.40909,2074,PovRateTotalSexDif,AFG,-0.49206
0.47358,0.41065,0.40523,2075,PovRateTotalSexDif,AFG,-0.47939
0.47356,0.4065,0.40058,2076,PovRateTotalSexDif,AFG,-0.4636
0.47373,0.40186,0.39547,2077,PovRateTotalSexDif,AFG,-0.44363
0.47411,0.39733,0.39071,2078,PovRateTotalSexDif,AFG,-0.42032
0.47511,0.39349,0.38677,2079,PovRateTotalSexDif,AFG,-0.39391
0.47281,0.38762,0.38108,2080,PovRateTotalSexDif,AFG,-0.36696
0.47023,0.38234,0.37608,2081,PovRateTotalSexDif,AFG,-0.33839
0.46786,0.3781,0.21862,2082,PovRateTotalSexDif,AFG,-0.3092
0.46621,0.25532,0.18611,2083,PovRateTotalSexDif,AFG,-0.28002
0.46542,0.22669,0.15934,2084,PovRateTotalSexDif,AFG,-0.25177
0.46523,0.19974,0.13554,2085,PovRateTotalSexDif,AFG,-0.22485
0.46542,0.17415,0.12086,2086,PovRateTotalSexDif,AFG,-0.19987
0.46566,0.14862,0.10734,2087,PovRateTotalSexDif,AFG,-0.17651
0.46572,0.12807,0.09485,2088,PovRateTotalSexDif,AFG,-0.15481
0.46535,0.11341,0.08507,2089,PovRateTotalSexDif,AFG,-0.13416
0.4642,0.10036,0.07479,2090,PovRateTotalSexDif,AFG,-0.11417
0.46209,0.0908,0.06755,2091,PovRateTotalSexDif,AFG,-0.09572
0.45904,0.07795,0.06108,2092,PovRateTotalSexDif,AFG,-0.0795
0.45508,0.06917,0.05492,2093,PovRateTotalSexDif,AFG,-0.06535
0.45019,0.06109,0.04901,2094,PovRateTotalSexDif,AFG,-0.05284
0.44483,0.05354,0.04237,2095,PovRateTotalSexDif,AFG,0.01816
0.39521,0.04546,0.03597,2096,PovRateTotalSexDif,AFG,0.02246
0.38769,0.03802,0.03064,2097,PovRateTotalSexDif,AFG,0.03147
0.38039,0.03198,0.02615,2098,PovRateTotalSexDif,AFG,0.03796
0.37313,0.02727,0.0225,2099,PovRateTotalSexDif,AFG,0.0427
0.36619,0.02316,0.01923,2100,PovRateTotalSexDif,AFG,0.04714
0.14601,0.14601,0.14601,2019,PovRateTotalSexDif,AGO,0.14867
0.13395,0.13395,0.13395,2020,PovRateTotalSexDif,AGO,0.14926
0.11977,0.11976,0.11977,2021,PovRateTotalSexDif,AGO,0.14099
0.10817,0.10817,0.10815,2022,PovRateTotalSexDif,AGO,0.13145
0.09713,0.09713,0.09714,2023,PovRateTotalSexDif,AGO,0.11856
