Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
59.61,59.61,59.61,2019,SanitAccessImproved,AFG,59.61
60.36,60.36,60.36,2020,SanitAccessImproved,AFG,60.36
61.09,61.09,61.09,2021,SanitAccessImproved,AFG,61.09
61.43,61.43,61.43,2022,SanitAccessImproved,AFG,61.43
61.61,61.61,61.61,2023,SanitAccessImproved,AFG,61.61
61.8,61.8,61.8,2024,SanitAccessImproved,AFG,61.8
61.99,61.99,61.99,2025,SanitAccessImproved,AFG,61.99
62.15,62.15,62.15,2026,SanitAccessImproved,AFG,62.15
62.29,62.28,62.28,2027,SanitAccessImproved,AFG,62.29
62.37,63.05,63.05,2028,SanitAccessImproved,AFG,62.37
62.4,64.71,64.71,2029,SanitAccessImproved,AFG,62.4
62.39,67.04,67.04,2030,SanitAccessImproved,AFG,62.39
63.06,69.79,69.77,2031,SanitAccessImproved,AFG,63.06
63.95,72.71,72.68,2032,SanitAccessImproved,AFG,63.96
64.64,75.59,75.55,2033,SanitAccessImproved,AFG,64.65
65.26,78.28,78.23,2034,SanitAccessImproved,AFG,65.27
65.66,80.69,80.63,2035,SanitAccessImproved,AFG,65.69
65.81,82.8,82.74,2036,SanitAccessImproved,AFG,65.86
65.85,84.65,84.6,2037,SanitAccessImproved,AFG,65.9
65.9,86.3,86.26,2038,SanitAccessImproved,AFG,65.94
65.95,87.8,87.78,2039,SanitAccessImproved,AFG,66.03
66.16,89.21,89.21,2040,SanitAccessImproved,AFG,66.3
66.45,90.55,90.57,2041,SanitAccessImproved,AFG,66.62
66.74,91.84,91.87,2042,SanitAccessImproved,AFG,66.96
67.06,93.06,93.11,2043,SanitAccessImproved,AFG,67.33
67.55,94.21,94.27,2044,SanitAccessImproved,AFG,67.86
68.02,95.26,95.33,2045,SanitAccessImproved,AFG,68.37
68.46,96.2,96.27,2046,SanitAccessImproved,AFG,68.85
68.86,97.01,97.08,2047,SanitAccessImproved,AFG,69.28
69.23,97.69,97.75,2048,SanitAccessImproved,AFG,69.67
69.57,98.25,98.31,2049,SanitAccessImproved,AFG,70.03
69.89,98.7,98.75,2050,SanitAccessImproved,AFG,70.38
70.23,99.05,99.09,2051,SanitAccessImproved,AFG,70.73
70.58,99.32,99.36,2052,SanitAccessImproved,AFG,71.08
70.96,99.53,99.55,2053,SanitAccessImproved,AFG,71.46
71.35,99.68,99.7,2054,SanitAccessImproved,AFG,71.87
71.77,99.78,99.79,2055,SanitAccessImproved,AFG,72.28
72.19,99.85,99.86,2056,SanitAccessImproved,AFG,72.71
72.61,99.9,99.91,2057,SanitAccessImproved,AFG,73.13
73.03,99.93,99.94,2058,SanitAccessImproved,AFG,73.55
73.45,99.96,99.96,2059,SanitAccessImproved,AFG,73.97
73.85,99.97,99.97,2060,SanitAccessImproved,AFG,74.37
74.25,99.98,99.98,2061,SanitAccessImproved,AFG,74.76
74.63,99.99,99.99,2062,SanitAccessImproved,AFG,75.14
75.02,99.99,99.99,2063,SanitAccessImproved,AFG,75.52
75.4,100.0,100.0,2064,SanitAccessImproved,AFG,75.89
75.79,100.0,100.0,2065,SanitAccessImproved,AFG,76.27
76.17,100.0,100.0,2066,SanitAccessImproved,AFG,76.65
76.56,100.0,100.0,2067,SanitAccessImproved,AFG,77.03
76.95,100.0,100.0,2068,SanitAccessImproved,AFG,77.42
77.33,100.0,100.0,2069,SanitAccessImproved,AFG,77.8
77.7,100.0,100.0,2070,SanitAccessImproved,AFG,78.18
78.06,100.0,100.0,2071,SanitAccessImproved,AFG,78.56
78.42,100.0,100.0,2072,SanitAccessImproved,AFG,78.93
78.77,100.0,100.0,2073,SanitAccessImproved,AFG,79.3
79.11,100.0,100.0,2074,SanitAccessImproved,AFG,79.66
79.46,100.0,100.0,2075,SanitAccessImproved,AFG,80.03
79.8,100.0,100.0,2076,SanitAccessImproved,AFG,80.39
80.14,100.0,100.0,2077,SanitAccessImproved,AFG,80.75
80.48,100.0,100.0,2078,SanitAccessImproved,AFG,81.11
80.83,100.0,100.0,2079,SanitAccessImproved,AFG,81.5
81.22,100.0,100.0,2080,SanitAccessImproved,AFG,81.93
81.64,100.0,100.0,2081,SanitAccessImproved,AFG,82.37
82.07,100.0,100.0,2082,SanitAccessImproved,AFG,82.82
82.5,100.0,100.0,2083,SanitAccessImproved,AFG,83.26
82.94,100.0,100.0,2084,SanitAccessImproved,AFG,83.69
83.37,100.0,100.0,2085,SanitAccessImproved,AFG,84.11
83.79,100.0,100.0,2086,SanitAccessImproved,AFG,84.52
84.2,100.0,100.0,2087,SanitAccessImproved,AFG,84.9
84.59,100.0,100.0,2088,SanitAccessImproved,AFG,85.27
84.97,100.0,100.0,2089,SanitAccessImproved,AFG,85.62
85.33,100.0,100.0,2090,SanitAccessImproved,AFG,85.96
85.69,100.0,100.0,2091,SanitAccessImproved,AFG,86.28
86.03,100.0,100.0,2092,SanitAccessImproved,AFG,86.6
86.36,100.0,100.0,2093,SanitAccessImproved,AFG,86.9
86.77,100.0,100.0,2094,SanitAccessImproved,AFG,87.28
87.17,100.0,100.0,2095,SanitAccessImproved,AFG,87.66
87.57,100.0,100.0,2096,SanitAccessImproved,AFG,88.19
88.12,100.0,100.0,2097,SanitAccessImproved,AFG,88.56
88.49,100.0,100.0,2098,SanitAccessImproved,AFG,88.94
88.88,100.0,100.0,2099,SanitAccessImproved,AFG,89.29
89.23,100.0,100.0,2100,SanitAccessImproved,AFG,89.63
72.25,72.25,72.25,2019,SanitAccessImproved,AGO,72.25
72.51,72.51,72.51,2020,SanitAccessImproved,AGO,72.51
72.83,72.83,72.83,2021,SanitAccessImproved,AGO,72.83
73.12,73.12,73.12,2022,SanitAccessImproved,AGO,73.12
73.32,73.32,73.32,2023,SanitAccessImproved,AGO,73.32
73.42,73.42,73.42,2024,SanitAccessImproved,AGO,73.42
73.49,73.95,73.95,2025,SanitAccessImproved,AGO,73.49
73.72,74.74,74.74,2026,SanitAccessImproved,AGO,73.72
74.03,75.78,75.78,2027,SanitAccessImproved,AGO,74.03
74.48,77.05,77.04,2028,SanitAccessImproved,AGO,74.48
74.97,78.53,78.52,2029,SanitAccessImproved,AGO,74.97
75.52,80.2,80.18,2030,SanitAccessImproved,AGO,75.53
76.1,82.01,81.97,2031,SanitAccessImproved,AGO,76.16
76.68,83.9,83.85,2032,SanitAccessImproved,AGO,76.81
77.25,85.8,85.74,2033,SanitAccessImproved,AGO,77.44
77.78,87.65,87.6,2034,SanitAccessImproved,AGO,78.03
78.26,89.39,89.36,2035,SanitAccessImproved,AGO,78.56
78.7,91.0,91.0,2036,SanitAccessImproved,AGO,79.05
79.12,92.46,92.48,2037,SanitAccessImproved,AGO,79.49
79.52,93.75,93.8,2038,SanitAccessImproved,AGO,79.92
79.93,94.88,94.96,2039,SanitAccessImproved,AGO,80.34
80.35,95.87,95.95,2040,SanitAccessImproved,AGO,80.78
80.8,96.71,96.8,2041,SanitAccessImproved,AGO,81.23
81.27,97.43,97.51,2042,SanitAccessImproved,AGO,81.71
81.76,98.02,98.09,2043,SanitAccessImproved,AGO,82.21
82.25,98.51,98.57,2044,SanitAccessImproved,AGO,82.71
82.73,98.9,98.96,2045,SanitAccessImproved,AGO,83.21
83.2,99.21,99.25,2046,SanitAccessImproved,AGO,83.71
83.66,99.45,99.48,2047,SanitAccessImproved,AGO,84.21
84.1,99.62,99.65,2048,SanitAccessImproved,AGO,84.7
84.52,99.75,99.76,2049,SanitAccessImproved,AGO,85.18
84.92,99.83,99.85,2050,SanitAccessImproved,AGO,85.65
85.31,99.89,99.9,2051,SanitAccessImproved,AGO,86.1
85.7,99.93,99.94,2052,SanitAccessImproved,AGO,86.47
86.09,99.96,99.96,2053,SanitAccessImproved,AGO,86.84
86.44,99.98,99.98,2054,SanitAccessImproved,AGO,87.22
86.82,99.99,99.99,2055,SanitAccessImproved,AGO,87.6
87.21,99.99,99.99,2056,SanitAccessImproved,AGO,87.97
87.61,99.99,100.0,2057,SanitAccessImproved,AGO,88.34
88.0,100.0,100.0,2058,SanitAccessImproved,AGO,88.7
88.38,100.0,100.0,2059,SanitAccessImproved,AGO,89.06
88.74,100.0,100.0,2060,SanitAccessImproved,AGO,89.41
89.1,100.0,100.0,2061,SanitAccessImproved,AGO,89.77
89.44,100.0,100.0,2062,SanitAccessImproved,AGO,90.14
89.8,100.0,100.0,2063,SanitAccessImproved,AGO,90.47
90.14,100.0,100.0,2064,SanitAccessImproved,AGO,90.8
90.45,100.0,100.0,2065,SanitAccessImproved,AGO,91.11
90.75,100.0,100.0,2066,SanitAccessImproved,AGO,91.4
91.05,100.0,100.0,2067,SanitAccessImproved,AGO,91.68
91.34,100.0,100.0,2068,SanitAccessImproved,AGO,91.91
91.61,100.0,100.0,2069,SanitAccessImproved,AGO,92.1
91.89,100.0,100.0,2070,SanitAccessImproved,AGO,92.29
92.1,100.0,100.0,2071,SanitAccessImproved,AGO,92.47
92.28,100.0,100.0,2072,SanitAccessImproved,AGO,92.63
92.46,100.0,100.0,2073,SanitAccessImproved,AGO,92.79
92.62,100.0,100.0,2074,SanitAccessImproved,AGO,92.94
92.77,100.0,100.0,2075,SanitAccessImproved,AGO,93.09
92.91,100.0,100.0,2076,SanitAccessImproved,AGO,93.23
93.04,100.0,100.0,2077,SanitAccessImproved,AGO,93.36
93.17,100.0,100.0,2078,SanitAccessImproved,AGO,93.49
93.3,100.0,100.0,2079,SanitAccessImproved,AGO,93.62
93.43,100.0,100.0,2080,SanitAccessImproved,AGO,93.74
93.56,100.0,100.0,2081,SanitAccessImproved,AGO,93.86
93.68,100.0,100.0,2082,SanitAccessImproved,AGO,93.98
93.81,100.0,100.0,2083,SanitAccessImproved,AGO,94.09
93.93,100.0,100.0,2084,SanitAccessImproved,AGO,94.2
94.05,100.0,100.0,2085,SanitAccessImproved,AGO,94.32
94.18,100.0,100.0,2086,SanitAccessImproved,AGO,94.43
94.3,100.0,100.0,2087,SanitAccessImproved,AGO,94.55
94.41,100.0,100.0,2088,SanitAccessImproved,AGO,94.66
94.53,100.0,100.0,2089,SanitAccessImproved,AGO,94.77
94.64,100.0,100.0,2090,SanitAccessImproved,AGO,94.88
94.75,100.0,100.0,2091,SanitAccessImproved,AGO,94.98
94.86,100.0,100.0,2092,SanitAccessImproved,AGO,95.08
94.97,100.0,100.0,2093,SanitAccessImproved,AGO,95.18
95.08,100.0,100.0,2094,SanitAccessImproved,AGO,95.29
95.18,100.0,100.0,2095,SanitAccessImproved,AGO,95.38
95.28,100.0,100.0,2096,SanitAccessImproved,AGO,95.47
95.37,100.0,100.0,2097,SanitAccessImproved,AGO,95.56
95.46,100.0,100.0,2098,SanitAccessImproved,AGO,95.64
95.54,100.0,100.0,2099,SanitAccessImproved,AGO,95.71
95.62,100.0,100.0,2100,SanitAccessImproved,AGO,95.79
99.85,99.85,99.85,2019,SanitAccessImproved,ALB,99.85
99.89,99.89,99.89,2020,SanitAccessImproved,ALB,99.89
99.89,99.89,99.89,2021,SanitAccessImproved,ALB,99.89
99.98,99.98,99.98,2022,SanitAccessImproved,ALB,99.98
100.0,100.0,100.0,2023,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2024,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2025,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2026,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2027,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2028,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2029,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2030,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2031,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2032,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2033,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2034,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2035,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2036,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2037,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2038,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2039,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2040,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2041,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2042,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2043,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2044,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2045,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2046,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2047,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2048,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2049,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2050,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2051,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2052,SanitAccessImproved,ALB,100.0
100.0,100.0,100.0,2053,SanitAccessImproved,ALB,100.0
