Baseline,SDG Push,JET SDG,Year,indicator,Country/Region,Enhanced NDC
1.00984,1.00984,1.00984,2019,TempChange,AFG,1.00984
1.06092,1.06092,1.06092,2020,TempChange,AFG,1.06092
1.11276,1.11276,1.11276,2021,TempChange,AFG,1.11276
1.16504,1.16504,1.16504,2022,TempChange,AFG,1.16504
1.21761,1.21761,1.21761,2023,TempChange,AFG,1.21761
1.26978,1.26978,1.26978,2024,TempChange,AFG,1.26978
1.32134,1.32134,1.32134,2025,TempChange,AFG,1.32134
1.37247,1.37247,1.37161,2026,TempChange,AFG,1.37161
1.42343,1.42339,1.41979,2027,TempChange,AFG,1.41983
1.47446,1.47432,1.46529,2028,TempChange,AFG,1.46542
1.52574,1.52549,1.50781,2029,TempChange,AFG,1.50803
1.57737,1.57707,1.54736,2030,TempChange,AFG,1.54766
1.6291,1.62885,1.58405,2031,TempChange,AFG,1.58443
1.68059,1.68048,1.61824,2032,TempChange,AFG,1.61865
1.73164,1.73179,1.65023,2033,TempChange,AFG,1.65065
1.78214,1.78256,1.68029,2034,TempChange,AFG,1.68064
1.83201,1.83277,1.70857,2035,TempChange,AFG,1.70881
1.88121,1.88248,1.73528,2036,TempChange,AFG,1.73529
1.92977,1.93168,1.76036,2037,TempChange,AFG,1.76018
1.97773,1.98019,1.78374,2038,TempChange,AFG,1.78333
2.0251,2.02815,1.80518,2039,TempChange,AFG,1.80447
2.07194,2.07564,1.8245,2040,TempChange,AFG,1.82356
2.1184,2.12282,1.84166,2041,TempChange,AFG,1.84056
2.16445,2.16967,1.85666,2042,TempChange,AFG,1.85544
2.21007,2.21618,1.86954,2043,TempChange,AFG,1.86825
2.25508,2.26215,1.88038,2044,TempChange,AFG,1.87903
2.29943,2.30747,1.8892,2045,TempChange,AFG,1.88787
2.3431,2.35205,1.89608,2046,TempChange,AFG,1.89486
2.38608,2.39593,1.90117,2047,TempChange,AFG,1.90011
2.42832,2.43914,1.90473,2048,TempChange,AFG,1.90386
2.46988,2.48174,1.90695,2049,TempChange,AFG,1.90632
2.51083,2.52394,1.90787,2050,TempChange,AFG,1.90767
2.55113,2.56565,1.90781,2051,TempChange,AFG,1.90809
2.59078,2.60675,1.90698,2052,TempChange,AFG,1.90777
2.62977,2.64707,1.90547,2053,TempChange,AFG,1.90668
2.6681,2.68669,1.90331,2054,TempChange,AFG,1.90501
2.7058,2.72564,1.90052,2055,TempChange,AFG,1.90278
2.74285,2.76392,1.89703,2056,TempChange,AFG,1.89999
2.77913,2.80151,1.89271,2057,TempChange,AFG,1.89653
2.81475,2.8384,1.88748,2058,TempChange,AFG,1.89234
2.84975,2.87459,1.88132,2059,TempChange,AFG,1.88737
2.88406,2.91009,1.87415,2060,TempChange,AFG,1.88163
2.91769,2.94484,1.86609,2061,TempChange,AFG,1.87504
2.95061,2.97886,1.85693,2062,TempChange,AFG,1.86769
2.98288,3.0122,1.84682,2063,TempChange,AFG,1.85959
3.01448,3.04495,1.83588,2064,TempChange,AFG,1.85075
3.04541,3.07702,1.82416,2065,TempChange,AFG,1.84112
3.07556,3.10856,1.81175,2066,TempChange,AFG,1.83083
3.10501,3.13954,1.79872,2067,TempChange,AFG,1.81988
3.13366,3.16995,1.78506,2068,TempChange,AFG,1.80826
3.16158,3.1997,1.77071,2069,TempChange,AFG,1.79609
3.18874,3.22878,1.7558,2070,TempChange,AFG,1.78333
3.21514,3.25698,1.74044,2071,TempChange,AFG,1.7701
3.24075,3.28433,1.7247,2072,TempChange,AFG,1.75644
3.26546,3.3109,1.70862,2073,TempChange,AFG,1.74237
3.28934,3.33677,1.69223,2074,TempChange,AFG,1.72786
3.3124,3.362,1.67553,2075,TempChange,AFG,1.71297
3.33472,3.38661,1.65854,2076,TempChange,AFG,1.69761
3.35635,3.41063,1.64125,2077,TempChange,AFG,1.68184
3.37731,3.43406,1.62362,2078,TempChange,AFG,1.66575
